angles,ipr,los_count,distance_cpa
0,0.686,157,"[array([49.71677895, 49.46495301, 49.28927264, 49.82231049, 49.30434734,
       49.60632179, 49.86299101, 49.08917115, 49.00442013, 49.53289719,
       49.86796424, 48.98245722, 49.97531577, 49.78446082, 49.96806041,
       49.76964121, 49.8321574 , 49.99624139, 49.52501366, 49.61391561,
       49.91951745, 49.98966059, 48.83353315, 46.053108  , 49.78529233]), array([49.29468117, 49.74574224, 49.33722529, 49.70836736, 49.91655272,
       49.65584721, 49.03610277, 49.34439505, 49.87182913, 49.53661416,
       49.98140505, 49.90261379, 49.95299015, 49.16234574, 49.62375222,
       49.54442753, 49.31175087, 49.79715795, 49.11748951, 49.85432134,
       49.77783154, 49.57112019, 49.44342256, 49.47724767, 49.312205  ,
       49.51723131, 49.41128181, 49.863661  , 49.05142912, 49.9415818 ]), array([49.37982033, 48.70692997, 49.9616709 , 49.32852927, 49.91679743,
       49.76051275, 49.81096851, 49.22793838, 49.61899898, 49.80643382,
       49.59308968, 49.55567451, 49.30364805, 49.36865765, 49.82955062,
       49.88947008, 49.79291216, 49.97511423, 49.77929728, 49.93655286,
       49.1553272 , 49.34609208, 49.93333594, 49.9982489 , 49.75573311,
       49.50588438, 49.70054403, 49.85383341, 49.62720846, 49.25005417,
       49.9778405 , 49.56126635]), array([48.72578172, 49.58120317, 49.93850289, 49.95788048, 49.43227199,
       49.43136359, 49.86798725, 49.54280964, 49.92659581, 49.58988658,
       49.15392291, 49.99493916, 49.96613588, 49.83464341, 49.7748213 ,
       49.79801912, 49.43003323, 49.52231705, 49.76501302, 49.32300531,
       49.74316607, 49.48697722, 49.90585298, 49.95992425, 49.88291137,
       49.36128961, 49.86339069, 49.89497741, 49.57586053, 49.91333691,
       49.70298859, 48.82057771, 49.57114104]), array([49.78855811, 49.81596841, 49.99866345, 49.90263687, 49.90018463,
       49.9590897 , 49.61378617, 49.11604871, 49.70869755, 49.95732786,
       49.63867645, 49.89017078, 49.24100441, 49.51640602, 49.86668192,
       49.55960231, 49.89223312, 49.93220977, 49.97359557, 49.43777476,
       49.72237039, 49.68214504, 48.77378993, 49.36983589, 48.3656078 ,
       49.98901467, 49.90819761, 49.70527642, 49.42537932, 49.81258992,
       49.78052338, 49.5901414 , 49.89329844, 49.74551937, 48.64665373,
       49.08005525, 49.14640414])]"
2,0.566,217,"[array([48.75856469, 47.50387618, 45.24874418, 47.88954326, 49.46284888,
       42.72128281, 45.02601651, 46.733801  , 49.57638758, 47.67271425,
       45.07981021, 46.2103275 , 49.30464879, 45.62413727, 48.12683844,
       48.87715454, 45.55576741, 48.71089785, 48.64028799, 45.33709817,
       49.86438702, 44.86822581, 48.85679435, 43.22472697, 48.72938501,
       46.42346868, 49.22111548, 49.88889246, 47.87923866, 45.44521559,
       49.19503824, 44.65449801, 47.9491383 , 49.12740753, 48.1521763 ,
       49.79763834]), array([46.57513103, 48.80911432, 49.49560828, 47.30169882, 41.56009067,
       48.44770353, 49.01176088, 48.10597464, 48.78919424, 49.18402241,
       48.40064203, 47.5371593 , 49.70327843, 46.1164075 , 49.97755046,
       48.9040793 , 49.81001053, 49.76137544, 44.58295719, 47.0231681 ,
       48.73797127, 45.32799342, 48.42333789, 46.36071896, 47.82388355,
       43.04847211, 48.05086989, 46.41515415, 48.9912057 , 40.88456746,
       45.48186711, 49.8304441 , 49.00244976, 45.50543909, 44.0052405 ,
       48.30025011, 44.24887647, 49.30323941, 45.652087  , 49.25011212,
       49.34895993, 49.96289067]), array([45.71275425, 44.45834889, 45.11404544, 49.49682254, 49.6896337 ,
       45.56487965, 45.1634698 , 48.64096208, 49.45853703, 46.89017089,
       48.05234665, 48.51607492, 40.88809934, 43.56208072, 47.14712438,
       48.29617294, 48.70309015, 43.3535396 , 36.17749274, 49.51192273,
       44.20994483, 43.89163196, 49.45960562, 48.83052248, 49.01400949,
       41.82716793, 47.62927983, 47.77739791, 48.56650501, 49.31237269,
       48.66098204, 48.80941589, 44.05134483, 46.80617932, 47.26266714,
       45.73884627, 44.3678708 , 44.59947316, 46.15367364]), array([45.81726803, 49.47909326, 49.85539002, 48.17842261, 48.86883877,
       48.98114409, 48.39582692, 47.72816851, 47.25934745, 49.93634411,
       49.34509886, 47.64399597, 43.88635992, 49.42027627, 49.9243356 ,
       48.69963633, 46.29674839, 49.29676259, 49.99286653, 49.70019558,
       48.42813448, 49.68942291, 49.27826595, 49.70602224, 49.59956654,
       44.34649963, 45.27458446, 48.92340682, 47.11122039, 49.991044  ,
       48.3827613 , 48.14224486, 48.45872269, 43.69244561, 42.96395467,
       49.17837151, 49.87128656, 47.55405944, 49.05566011, 49.1243802 ,
       47.60808349, 47.49929658, 39.7425422 , 44.50114942, 49.51455143,
       49.06566468, 48.81287158, 48.68850778, 47.67942195, 43.22026028,
       46.20565636, 45.12831688, 47.51544831, 49.41762595, 49.95204817,
       45.75863536, 48.85162786, 46.57807643, 47.71201081, 44.34784722]), array([47.24990815, 47.23258446, 47.5984197 , 49.75017501, 45.30432148,
       44.28326198, 48.52352601, 44.65051467, 49.66390338, 42.02062837,
       49.75961709, 45.93057825, 48.48792155, 49.69843016, 48.42561216,
       48.60342522, 49.2955676 , 44.51110456, 47.92071401, 45.73626981,
       49.80982627, 48.48013986, 46.36061618, 47.07599662, 49.36733992,
       47.09769074, 43.89007772, 48.18346913, 43.8690958 , 44.72650463,
       48.85461673, 49.91530931, 44.27321026, 46.71300275, 48.76026505,
       49.95720114, 47.40852877, 47.72593959, 48.14770958, 46.63023373])]"
4,0.44,280,"[array([48.25165018, 47.01447668, 47.58380065, 48.52674396, 49.64143562,
       48.63811633, 49.94976328, 49.02811175, 48.52903668, 45.85052369,
       44.5322421 , 48.0406483 , 43.29123956, 49.33748703, 46.99909326,
       46.95218578, 48.85104511, 49.33266483, 46.19027941, 49.67737146,
       47.76294644, 46.30045302, 45.75224415, 49.15265319, 44.93901786,
       46.33435129, 49.32420823, 48.17221848, 47.57533406, 49.86200056,
       48.75415534, 49.61960508, 48.67491302, 49.28786197, 43.16446744,
       48.87086283, 48.53749091, 45.06375589, 45.40289663, 47.91170333,
       48.89152372, 47.10969362, 49.33011007, 49.07587489, 48.66805757,
       49.56488252, 49.77566904, 49.73725723, 48.25516806, 48.45375791,
       47.3864433 , 49.92549755, 48.27717344, 48.36670946, 49.65487152,
       49.61845686]), array([47.96992292, 49.13711489, 49.85956743, 49.25463236, 49.65888767,
       44.16980801, 47.09909403, 44.73414792, 48.48173578, 49.39723935,
       49.62761864, 49.16195059, 49.021984  , 49.89432964, 45.89433054,
       45.44658331, 47.01228495, 49.87156359, 49.20931845, 44.64631638,
       47.63859824, 48.96061831, 49.28171371, 48.60924756, 48.18817977,
       49.59187798, 41.05793065, 47.60013992, 45.3900218 , 49.99552052,
       48.8312273 , 47.92369721, 45.96890408, 47.63574924, 49.42583415,
       45.48881038, 49.36505369, 46.44752355, 42.91633682, 45.79004647,
       49.52273106, 41.0530639 , 45.30736399, 45.38242739, 48.11455647,
       49.23557734, 48.12038075, 49.06041679, 49.53817677, 45.75126218,
       48.54389328]), array([49.93920881, 47.49241011, 49.70505217, 48.92631072, 48.00873697,
       47.25308721, 49.1131243 , 48.19466422, 49.57548982, 45.19701888,
       47.97594409, 49.02192582, 47.86003072, 47.92550171, 45.77946086,
       47.9191767 , 48.80544896, 44.76453603, 49.78072459, 45.64085878,
       48.21253225, 45.2258927 , 48.9595154 , 44.32272644, 49.61590825,
       49.7067497 , 49.5872617 , 43.71753909, 47.80177631, 43.98820672,
       49.20562291, 47.18904752, 49.91616976, 49.90729597, 48.91519152,
       47.95832065, 47.62643957, 43.91354964, 44.79087051, 49.44709457,
       49.29397694, 44.82068042, 46.41317611, 47.79702548, 46.24981466,
       49.5466219 , 46.28344636, 49.19180574, 46.50322154, 49.64155765,
       47.90401923, 43.25710479, 48.19067874, 48.14215552, 49.89134723,
       49.74759504, 48.41226633, 46.92012707, 48.51304931, 49.40656235,
       49.24019224, 48.3440188 ]), array([49.45390818, 49.95472058, 49.16902093, 46.8857817 , 49.93613928,
       49.88442936, 49.41097567, 42.19894783, 48.62123478, 47.99552619,
       47.15897536, 49.66031911, 49.06538998, 47.14955779, 46.56389142,
       49.81771241, 49.80491665, 43.25961689, 49.5775838 , 49.76666521,
       45.18603441, 44.3635283 , 46.75117407, 49.93294626, 49.28392589,
       48.9589626 , 49.53527121, 49.00475967, 46.48692086, 46.15977965,
       49.37150043, 49.47745824, 49.58552725, 43.96019582, 49.5790667 ,
       48.08554915, 49.50695955, 49.51117765, 49.18572645, 49.08132383,
       47.03720752, 49.17281412, 47.33821843, 49.97177379, 49.15511621,
       48.30741628, 43.92860016, 49.59138962, 49.98042468, 49.49928046,
       49.94118117, 41.8858885 , 49.22883915, 45.09104402, 46.27353199]), array([45.16994888, 44.81491171, 49.77713796, 49.6913749 , 49.06131857,
       49.84070795, 49.28251604, 45.35160905, 48.08186933, 47.06044611,
       42.57499751, 48.19135607, 49.99382433, 48.79633914, 47.22396073,
       46.71069686, 49.55210492, 49.18298711, 48.98719126, 49.84883121,
       49.65556684, 47.91205249, 49.37527947, 49.72479073, 49.17012106,
       49.26524775, 47.33774705, 48.96044525, 47.54119235, 43.28177832,
       47.58384393, 49.68854242, 49.38040986, 49.54268168, 48.50339382,
       48.20090198, 48.94488196, 49.61744014, 45.09808351, 48.82452474,
       46.27959217, 47.74781018, 47.00379922, 48.55284693, 44.55772686,
       45.86865114, 42.69815905, 47.0754942 , 47.62216488, 48.3399713 ,
       49.63130551, 45.33966047, 46.55970491, 49.84217391, 47.77782951,
       47.43512934])]"
6,0.578,211,"[array([48.95895484, 46.01445933, 47.06001149, 49.37544392, 45.81497458,
       49.34442333, 49.99709557, 48.46268505, 43.83692076, 46.69940597,
       46.39957943, 47.8270667 , 49.66558386, 48.94153705, 49.62572552,
       48.47446837, 43.63697279, 49.84275281, 49.9372662 , 48.33137342,
       49.67905054, 49.67049972, 45.10060723, 49.99921026, 48.99020752,
       49.81487403, 49.04616883, 46.68302469, 48.61277685, 49.4548564 ,
       49.52228414, 49.84786937, 48.05587782, 49.950226  , 49.20350924,
       45.65332856, 47.88052796]), array([45.65482196, 41.43301917, 49.58974673, 49.44034711, 45.01004185,
       48.85688495, 49.95045931, 49.38521181, 49.50454281, 47.52710817,
       48.39751949, 42.17590358, 49.71196839, 45.68486322, 46.62731717,
       44.59624719, 48.48846923, 49.91851592, 48.82039162, 47.33046569,
       47.48520585, 45.02154872, 49.54974835, 48.98080978, 48.58867045,
       46.49439574, 49.69040621, 48.52680446, 48.79773955, 44.38971335,
       48.42348792, 49.58671053, 49.58792369, 48.4622895 , 48.51297439,
       47.50383811, 49.59474771, 49.94825281, 47.95860582, 48.93216881,
       49.7734438 , 49.92744588, 48.05567914, 46.25184735, 49.05119145,
       49.81952508]), array([48.01772703, 48.74450529, 49.90938924, 49.80626151, 48.05313602,
       46.66200504, 49.23487323, 48.56356357, 48.303829  , 45.38571521,
       48.92378457, 48.96362373, 48.15843443, 49.61049616, 49.79849703,
       48.17308228, 49.95365347, 49.0905367 , 49.52140764, 49.39457525,
       49.97766921, 47.11916387, 49.39783288, 49.16885657, 49.84761836,
       46.48892184, 49.8584871 , 48.25690758, 47.89370849, 49.90956843,
       47.72647903, 49.59826661, 49.96246335, 48.20616881]), array([49.45959427, 49.50847421, 46.57299406, 49.7196325 , 49.27324891,
       49.68168734, 47.18866308, 46.57878603, 49.95812415, 49.22288599,
       49.92796619, 47.99040138, 49.64326945, 49.38432426, 46.13842457,
       48.34413811, 48.99734038, 48.04829545, 44.07415149, 45.81375117,
       46.74384778, 48.52644903, 46.03278356, 45.96092307, 48.47120782,
       48.11432309, 48.51275403, 49.34459092, 46.79948003, 49.99700738,
       49.44271135, 49.46239711, 47.21956133, 47.12431407, 43.08614139,
       45.55461266, 48.47435096, 49.80782988, 49.92707732, 46.53339046,
       47.73930348, 42.0737148 , 49.75142162, 46.28087553, 47.17927021]), array([47.54794879, 46.92342114, 49.35923123, 48.09925918, 48.5065881 ,
       48.63054636, 48.82454143, 47.97806719, 49.98487973, 48.0300051 ,
       49.57988301, 48.79629638, 47.32605224, 49.85333577, 46.71279381,
       49.36566063, 49.04872609, 48.08031354, 47.34100404, 44.66101282,
       48.5172815 , 49.67485014, 49.73073505, 44.90679544, 49.36208342,
       49.87128249, 48.96775703, 49.78613843, 45.08058425, 47.86127348,
       49.56790378, 49.99548598, 49.89543933, 47.38028434, 44.96891624,
       49.90161131, 48.85161746, 49.12450625, 47.64878737, 48.03414864,
       47.94256557, 49.94427725, 49.2341423 , 47.06734288, 46.47808388,
       46.15571232, 48.16351635, 49.61227734, 49.29864635])]"
8,0.748,126,"[array([49.95935663, 48.6698309 , 48.07529174, 46.26277013, 49.30311568,
       45.01379505, 49.00353892, 49.6876098 , 49.65982217, 48.84250091,
       47.34059515, 49.44023095, 48.29439756, 49.91042396, 43.8011374 ,
       47.98524963, 49.79894443, 46.97863229, 47.29482527, 44.78168032,
       47.68843096, 48.91224763, 49.83728532, 47.73521869, 49.63009826]), array([49.27512287, 47.29242445, 49.85338533, 44.8840609 , 47.89840258,
       49.30357367, 49.02874718, 44.34369134, 49.88161307, 49.75545803,
       49.66849555, 49.88362568, 48.06794204, 49.89472701, 49.42524897,
       49.79708706, 49.47063033, 49.98166114, 49.87246796, 49.02952183,
       48.1553196 , 49.88835419, 49.8451398 , 48.50612471, 49.18711773,
       49.7733838 , 45.28603487]), array([49.24340311, 49.44534435, 48.12406399, 48.09518931, 49.33400139,
       49.85737316, 44.15585588, 45.93597427, 49.17865802, 48.16401269,
       49.62220736, 48.4705113 , 49.34929577, 43.94165545, 43.70431448,
       48.08239731, 49.95588518, 47.60443052, 48.46339323, 49.44354237,
       49.38673649, 46.67894686, 49.32377217, 49.68267347, 48.99593689,
       47.67080862, 49.55343971, 46.85013975, 47.73888035, 49.22832336,
       49.68063193]), array([49.15706011, 49.48867312, 49.37881692, 48.38203992, 49.62454355,
       48.9786343 , 49.82380586, 49.0198196 , 49.33064228, 49.64191215,
       49.6893706 , 49.42946814, 48.859487  , 49.4169614 , 49.86982686,
       48.99641873, 49.7373387 , 48.30523145, 49.99895835, 49.72815326,
       49.73330865, 49.90232038, 49.98489474]), array([49.02266175, 49.41307492, 47.27611544, 49.74868908, 48.07383844,
       43.83191291, 49.53982019, 49.41009088, 49.88382801, 48.63311019,
       47.74028581, 48.39393949, 46.6536868 , 48.03057496, 49.05964399,
       48.50121233, 49.03784095, 49.4111388 , 45.72853174, 48.4038811 ])]"
10,0.868,66,"[array([49.91593548, 49.51810615, 49.84347625, 49.4761625 , 49.20674175,
       49.51865471, 49.99391027, 48.73973609, 48.52831565, 49.27898856,
       49.71428632]), array([49.81297837, 49.34419229, 49.91600142, 48.2893246 , 49.85326363,
       49.37881741, 49.67156188, 43.46670994, 48.46361377, 49.91085733,
       49.55501427, 49.19225867, 44.25869943, 49.8153291 , 49.36890797,
       48.65245531]), array([48.25531978, 49.36076135, 49.88945102, 49.48302437, 48.04284101,
       48.48335642, 49.96637377, 46.31351223, 49.95600712, 49.22115088,
       48.27388359, 49.08038206, 45.75132272, 49.9398542 , 48.7255548 ,
       48.72927287, 49.73608905]), array([48.77799651, 48.81594617, 49.36465075, 49.05174722, 46.88706635,
       49.54620724, 49.87728516, 49.67739762, 49.57080924]), array([49.91090256, 47.66770934, 44.94886642, 49.25975498, 46.13504355,
       47.78478298, 49.54986917, 48.10985496, 47.70661099, 48.3654238 ,
       48.60114556, 49.49502133, 49.81398403])]"
12,0.94,30,"[array([48.23724563, 49.80397554, 49.86806333]), array([49.59412526, 49.89724918, 48.79044803, 48.11562479, 49.85506544,
       49.67893276]), array([49.54320206, 49.42665764, 49.94422484, 49.37078601, 48.72578242,
       49.94066498, 48.96236783, 49.94044734]), array([48.80895237, 49.98672138, 49.49299777, 49.63074157, 49.33806641]), array([49.32318394, 49.4067852 , 49.88421058, 49.95854222, 47.9844689 ,
       49.40068557, 49.38268453, 48.43100643])]"
14,0.972,14,"[array([45.24288335, 49.98773304, 49.42642173, 46.5433576 ]), array([49.74945124, 47.39510823]), array([47.70515739, 48.56580114, 49.54300952]), array([49.61852305, 47.84636414, 49.1463222 , 49.89367586]), array([49.73112996])]"
16,0.98,10,"[array([46.90549536]), array([48.33396244, 48.2220109 ]), array([49.62669179, 41.81686464, 49.86004666, 49.15873678]), array([49.82844575, 48.03430286]), array([47.18699436])]"
18,0.988,6,"[array([], dtype=float64), array([], dtype=float64), array([48.58834212, 38.72336566]), array([46.7393295 , 49.25037386]), array([49.66656849, 47.64248664])]"
