angles,ipr,los_count,distance_cpa
0,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
2,0.93,35,"[array([48.23673716, 38.94913801, 41.96024251, 36.30078729, 35.6029195 ]), array([47.71252313,  6.64352605,  2.33688128, 46.17772837, 42.43789429,
       48.36872372]), array([36.0941134 , 47.62806401, 36.44788305, 31.93049014, 17.22075339,
       42.33071849, 36.98637834, 22.12052512,  7.27713258, 48.74629881]), array([47.53534491, 39.01549679, 37.51036154, 49.0478278 ,  3.14835195,
       35.97963628,  8.09174434, 11.9441113 ]), array([49.87048291, 17.09875535, 35.91914975, 42.55778603, 12.79338113,
       45.6282327 ])]"
4,0.858,71,"[array([44.65806659, 48.29784415, 48.73098542, 38.15325382, 45.73321689,
       49.03878621, 48.89193799, 39.70879348, 32.76445725, 45.82701648,
       44.88947852, 49.78069883]), array([48.5427501 , 47.02673681, 41.59004652, 47.08246334, 45.07084193,
       46.0301811 , 41.86685297,  8.24646514, 37.80816255, 47.95530642,
       40.24274239, 28.75467802, 43.76071129, 44.07870045, 49.70261219]), array([47.53713941, 44.5805733 , 44.98470713, 27.74056653, 48.68572287,
       49.13048182, 48.4760921 , 46.69422512, 49.51319718, 31.09653646,
       49.23026055, 49.54277516, 44.46528974, 45.86205636, 38.33872852,
       43.53232969, 36.65709201, 38.62868921]), array([41.20323335, 49.59846303, 42.5656475 , 37.8131143 , 45.92410133,
       32.26544406, 40.59858543, 44.48861781, 30.97469756, 48.25395977,
       38.88432552, 49.28342844, 23.84765341, 48.25496026, 46.92662309]), array([44.77236232, 33.81727389, 18.6317917 , 43.68882854, 47.39289649,
       36.03994494, 49.36877834, 36.23127219, 49.54769063, 37.12060065,
       41.84292048])]"
6,0.844,78,"[array([46.82180297, 44.01888752, 38.04637696, 36.58480637, 43.62131668,
       33.8264629 , 48.001044  , 38.894649  , 49.30157997, 49.9365162 ,
       45.8059766 , 43.88040026, 48.41277509]), array([49.57820929, 48.86983122, 46.6809453 , 45.82535881, 43.95841588,
       49.22675651, 47.39184138, 48.36204261, 41.44862124, 44.60785713]), array([31.24085704, 34.40147662, 31.9244779 , 40.3687524 , 45.82316806,
       45.23064748, 45.9781018 , 47.57241481, 42.50441713, 12.66184798,
       48.76422529]), array([45.98596255, 45.1330766 , 42.85881199, 33.04068883, 47.21846859,
       47.66997155, 26.68584179, 49.71853061, 44.45265285, 38.70903085,
       45.65104804, 49.35499432, 45.71006856, 22.42587506, 35.80980105,
       42.70766888, 37.39083695, 48.87235352, 45.85969912, 45.68436613,
       41.26381874, 28.09930315]), array([28.34276902, 49.96603213, 49.53737951, 43.82875867, 42.94791402,
       49.938299  , 45.33926147, 47.19005526, 32.63198109, 46.51178982,
       47.35796431, 32.02304355, 43.05744843, 48.91355835, 47.57624023,
       44.5616459 , 48.24689594, 27.29726871, 45.14888442, 35.60323953,
       27.76174759, 37.66813973])]"
8,0.794,103,"[array([47.32096669, 35.53960785, 48.83084422, 49.07010704, 46.99273517,
       46.67764973, 31.65026465, 38.02221664, 43.62408882, 44.08646995,
       25.66160908, 35.86296182, 46.39198124, 47.78637088, 48.3996869 ,
       49.17324694, 46.32523698, 48.56649253, 44.55578573, 37.27592379,
       47.64902405, 45.19109248, 40.01426293, 47.89115868]), array([48.2133109 , 46.78939442, 15.36944124, 49.28519203, 46.60725519,
       43.07659371, 46.43650066, 40.14571458, 41.41019036, 40.5132559 ,
       36.40371124, 48.99488229, 47.92348681, 44.26212852, 33.68781019,
       43.5509916 ]), array([47.89719932, 48.86435625, 49.01000846, 33.17192502, 35.5790095 ,
       35.29299374, 33.34356285, 41.49743236, 34.4462143 , 44.69107963,
       46.74648293, 46.01345121, 47.57585218, 48.05609715, 48.81522571,
       49.12368445, 34.40141662, 34.83912442, 49.09357637, 37.22637872,
       48.49682814]), array([48.70584824, 47.03630557, 41.47531962, 45.62928691, 39.87510006,
       37.12926928, 42.95289808, 47.13920561, 48.71955581, 49.58206881,
       49.75545873, 49.43153662, 45.82817501, 49.58457863, 41.82403634,
       44.95794752, 48.43492553, 46.64178619, 46.72667766, 45.16690338,
       38.21593043]), array([46.59882797, 48.14964131, 44.89188458, 48.34988831, 48.79756203,
       44.27849501, 49.6949246 , 49.81819095, 34.39783322, 49.78673012,
       29.60698497, 49.60879672, 47.65425498, 44.50925074, 38.61835184,
       39.89241916, 48.46049039, 46.1278723 , 45.01832919, 49.09066187,
       44.07102614])]"
10,0.826,87,"[array([40.27315611, 41.92912987, 45.29155902, 43.34658261, 42.47862911,
       48.27100592, 48.93591508, 44.28658946, 41.15137778, 47.07182745]), array([35.64383155, 45.18551496, 45.96915322, 39.75739245, 49.52897608,
       45.44564711, 40.74968579, 45.09956043, 49.62674672, 44.8744911 ,
       48.27642637, 43.17228838]), array([43.67770032, 37.28343621, 48.98914192, 48.90272425, 41.05905682,
       47.97629566, 42.72524451, 46.03893274, 34.41150956, 37.04553357,
       49.58967565, 46.4634275 , 49.84221128, 48.08037887, 46.71251094,
       42.64887849, 48.42602314, 47.38274593, 34.21067014, 46.47936019,
       45.20079901, 43.27514054, 47.11407213, 49.08393711, 48.10211849,
       36.27645673, 49.75434211]), array([49.98944809, 46.34507914, 48.87252366, 47.28568872, 49.26354915,
       48.98674884, 49.42002537, 37.4699748 , 45.94725143, 41.61214604,
       41.64843663, 39.81166005, 49.99555567, 47.18820478, 49.84304144,
       48.79356911, 48.80493047, 48.91705628, 49.78604256, 41.55958393,
       36.90218058]), array([37.33668774, 48.31093004, 49.65403917, 48.40490392, 46.42129268,
       47.08816053, 47.52162577, 35.25830258, 47.17166252, 49.08599853,
       40.71633658, 49.46543204, 47.42228977, 39.64894707, 48.63728301,
       49.67903091, 47.66230622])]"
12,0.884,58,"[array([47.28301684, 46.08366095, 48.03752313, 42.3508621 , 47.00987535,
       49.87324718, 49.05148071, 49.05262511, 37.88574893, 49.0327787 ]), array([46.04566527, 48.09828552, 47.55218199, 36.33185166, 45.89097153,
       39.70221162, 45.08955952, 49.29907616, 46.66089416, 40.931217  ,
       43.65783375, 47.61246893, 42.78336137, 48.70990105]), array([49.07199681, 49.75687372, 49.74503023, 43.81761064, 43.82837561,
       49.78845624, 43.35118173, 48.66212002, 45.91093226]), array([49.36904732, 49.81280138, 48.13293498, 44.6954808 , 40.40504196,
       39.76388152, 49.83714457, 47.84672237, 45.95431451, 49.82819172,
       47.78557063, 44.56867869, 49.59039765, 46.11236727]), array([43.72618201, 45.19675647, 47.92292365, 49.88144977, 44.75717852,
       49.30065701, 35.86396228, 48.41888654, 46.6433746 , 44.62380028,
       49.26196913])]"
14,0.93,35,"[array([49.9840157 , 49.81907396, 49.00339184, 40.84522993, 42.44247148,
       49.72485258, 49.13394879]), array([48.81129419, 42.81336255, 45.14074291, 45.00971537, 46.36015394,
       42.76781807, 25.77820153, 37.24334167, 47.4075311 , 49.21379906,
       48.78336138, 48.09277815, 47.52114078, 43.42918307, 47.74967429]), array([47.87111802]), array([49.17065107, 48.15790097, 49.00085581, 42.19830012, 48.76036693,
       47.11898526]), array([47.5212    , 49.61633593, 48.7798254 , 46.52780469, 49.24468248,
       38.89257997])]"
16,0.95,25,"[array([47.7431123 , 44.62541469]), array([49.20810016, 49.84449172, 48.73525899, 46.41448519, 44.85676249]), array([49.64670544, 46.35862688, 48.96684121, 49.67887168]), array([49.27118172, 49.48937325, 49.92303772, 49.52824877, 47.44147393,
       41.4828504 , 46.28319575, 48.06658848]), array([49.87005602, 40.26874279, 49.89864798, 46.05575343, 48.17808432,
       43.54413031])]"
18,0.96,20,"[array([49.89976197, 49.43504164, 43.94844861, 49.55338802, 49.62802297,
       46.6651152 , 49.25343035]), array([48.37059788, 49.04804403, 49.35896255]), array([], dtype=float64), array([49.98080266, 43.14169653, 48.47256522, 49.72494725, 48.59152903,
       49.48639879]), array([36.61745799, 45.97188263, 49.95630032, 47.75331613])]"
