angles,ipr,los_count,distance_cpa
0,0.826,87,"[array([49.28943836, 46.84331821, 48.71953087, 49.89115813, 49.6823003 ,
       49.83682336, 43.24996709, 49.71798926, 48.13009003, 49.67577487,
       48.07653028, 49.9780942 , 49.31320642, 47.81957446, 48.32448888,
       47.56870799, 49.34193982, 49.91746495]), array([49.82356724, 49.77727122, 48.93108598, 49.57478974, 46.88953665,
       49.82548079, 46.75876575, 46.64827784, 49.80475359, 49.75044711,
       49.83692107, 49.12876766, 49.8498978 , 49.0619143 , 49.48583659,
       48.9112679 , 48.47499508, 49.13916885, 47.99962597]), array([49.49961474, 48.62333337, 47.56413214, 49.44975586, 49.27386614,
       49.77511593, 49.48923651, 49.45933011, 46.70132167, 49.77781829,
       49.81334593, 49.59222527, 48.7983828 , 46.92067979, 49.66809233,
       49.43500986, 49.14633462, 49.83346385]), array([49.76939605, 46.55640256, 49.53162583, 49.87617813, 49.6552586 ,
       49.74351191, 49.32265791, 49.48468854, 49.76825447, 49.78163074,
       49.79765911, 49.37703326, 48.12302006, 48.46903054]), array([49.97448312, 49.15780044, 45.26311029, 48.90934892, 47.90914225,
       49.75114139, 49.89841544, 49.54719865, 48.40423524, 49.61794327,
       48.8817098 , 49.81132941, 49.65282074, 49.1514913 , 49.8601429 ,
       49.72960214, 49.82198218, 48.98539554])]"
2,0.826,87,"[array([49.41684919, 49.60722498, 49.6789096 , 49.86264094, 49.70516729,
       49.7794345 , 49.0920897 , 48.03916634, 48.61153877, 49.13244755,
       48.10873721, 49.95974524, 49.76082958, 49.10012491, 47.62683569,
       47.31032874, 49.94258241, 49.80446002, 48.70961705, 47.67537725,
       49.40306045]), array([49.94852398, 48.06709067, 49.71578338, 49.50413473, 48.89992497,
       49.79904434, 43.62085785, 48.7089404 , 48.46191643, 49.06025514,
       48.96136534, 42.20011233, 48.9686686 , 49.75975856, 48.7828882 ,
       49.25912677, 48.82364631]), array([49.20318938, 48.90123676, 49.78904677, 49.69168082, 49.81559497,
       49.7626734 , 48.59988615, 49.45629608, 49.31732121, 49.10847435,
       49.71178593, 49.57649539, 49.71144091, 48.31554672, 46.76249798]), array([48.47336734, 49.98306282, 48.49255821, 49.22847493, 46.75413312,
       49.8172901 , 48.75839299, 48.87996939, 48.15949002, 48.6854357 ,
       49.64150821, 48.18136529, 48.82710616, 49.82527077, 49.48651547,
       49.62521907, 49.66406805, 49.3823794 , 49.78158501, 48.76735975]), array([49.1515107 , 49.77739981, 48.50758969, 46.85934862, 49.79350733,
       49.1549225 , 49.91440085, 48.36119504, 48.86714301, 49.99842581,
       49.56426909, 49.06742919, 49.73133749, 49.90061769])]"
4,0.832,84,"[array([48.80682171, 48.94226075, 47.22837495, 48.47641384, 49.77761314,
       49.59549441, 49.53947729, 48.90653739, 49.93406046, 48.75114107,
       46.60582661, 49.54374371, 49.04485484, 49.70397892, 47.87873634,
       49.96966938, 49.86244313, 47.75355318]), array([49.88446765, 48.4261186 , 45.28991625, 48.87415796, 49.44268189,
       48.32674491, 49.21488806, 48.40341313, 47.49166661, 49.87567085,
       49.58325417, 48.9887139 , 49.12122029, 49.31633556, 48.64444437,
       49.2806432 ]), array([49.7382177 , 49.74220149, 47.58896289, 49.95550685, 48.83086776,
       49.47041057, 47.0361382 , 48.62064932, 49.9151211 , 48.73366783,
       49.18124775, 48.05219905, 49.48207632, 48.30351382, 48.25621427,
       49.14510728, 48.30628579, 49.89422685, 49.98773681, 46.89340481]), array([48.63314533, 49.48798703, 49.91321205, 49.83977473, 49.50034731,
       48.41138757, 46.87460782, 49.89618321, 49.94475784, 48.72845149,
       49.95797039, 45.80065874, 49.88126064, 49.64257673, 49.88265008]), array([47.32135235, 49.66000747, 49.88070247, 49.85311266, 40.14466327,
       49.7879731 , 49.42098762, 49.36366155, 49.86501565, 49.17873806,
       48.92730484, 47.26054762, 49.73764124, 49.16345523, 49.96229155])]"
6,0.852,74,"[array([49.39387557, 49.58012529, 49.8612713 , 49.98722007, 49.66291931,
       49.67097901, 49.69268844, 49.88273369, 46.49888133, 49.54418869,
       49.5336704 , 48.07808998, 47.2198804 , 49.33926086, 48.17865607,
       47.71118627, 49.81843465]), array([49.66477968, 49.6875795 , 49.89601864, 49.10043003, 49.00317524,
       49.95979794, 49.98852816, 49.87953955, 47.95284734, 48.63240406,
       48.89286194, 48.71846325, 46.30593267, 47.72726421, 49.34369896,
       47.75297147]), array([47.92746228, 49.41852985, 48.30743202, 49.82960531, 49.85401735,
       48.72058202, 49.72639209, 49.28918872, 49.50230455, 49.51185599,
       47.07555373, 49.62954765, 49.53260542]), array([48.68659408, 48.44554192, 47.36990674, 48.9091114 , 49.8644158 ,
       48.59527315, 48.36841591, 45.4122708 , 48.98856039, 48.8740569 ,
       49.89835115, 49.89321077, 49.81181706, 49.83011771]), array([49.9822195 , 49.36850872, 48.96184851, 49.13085221, 49.02348138,
       46.48534499, 43.21655878, 49.00802229, 49.52115655, 49.36396624,
       49.32126112, 49.36093325, 46.00343426, 49.26219124])]"
8,0.842,79,"[array([49.82138994, 49.34095065, 44.90012052, 49.41680109, 49.37433604,
       48.97814535, 49.71464191, 49.97980375, 49.85962865, 47.77937519,
       48.71276145, 49.70566193, 49.99085994, 48.65946767, 49.95137814,
       49.79700587, 49.75034694]), array([49.08787827, 39.1842698 , 48.99780568, 49.56530178, 49.0116947 ,
       49.73943671, 48.85606796, 49.63345616, 49.79772533, 49.83478309,
       46.69006108, 49.48682765]), array([49.88636999, 49.24990331, 48.71692874, 49.09020483, 48.82717721,
       45.46185088, 49.15983843, 49.71583384, 44.81687804, 49.12445919,
       49.54554271, 49.81246478, 49.50773659, 49.2671965 , 47.84009244,
       48.8494494 , 49.91836602, 46.42708229, 49.94973068, 49.78211921]), array([49.33688478, 49.19484499, 47.58027561, 49.64322319, 46.62952922,
       49.46038171, 49.15477945, 49.96208389, 49.60289905, 48.77632819,
       49.86256643, 49.37690105, 49.97968944]), array([49.97057491, 49.81343376, 48.72540748, 48.55057262, 49.87030244,
       49.49232192, 49.58980412, 49.49215047, 49.25507837, 49.83501452,
       49.63753221, 49.868582  , 49.35329262, 48.49299002, 49.41899869,
       49.56206956, 49.94198087])]"
10,0.884,58,"[array([46.8561824 , 49.85924694, 48.61776977, 49.55992326, 49.92199041,
       49.90365407, 46.97296625, 48.89673624, 48.37732948, 49.41906909,
       48.46431109, 49.91819503, 49.6676959 ]), array([48.00960332, 49.932727  , 47.00698852, 49.50210116, 49.77642435,
       49.4233053 , 49.89067688, 47.18923825, 49.78684379, 49.50789221,
       47.63868605, 49.53097748]), array([49.83468797, 49.88549847, 49.53944168, 48.00565552, 49.55490833,
       48.44841779, 49.74198684, 46.80537157, 49.71776785, 49.1552037 ,
       49.87348422, 47.26529294, 49.29044656, 49.53301003]), array([49.87610389, 48.90443963, 47.09334228, 47.33547491, 49.82290143,
       48.84814142, 47.10428524, 48.08637104, 48.94580729]), array([49.76380913, 49.23298707, 49.91834657, 49.67318047, 49.36726403,
       49.45366669, 47.49519414, 49.91267056, 49.24571543, 49.75259923])]"
12,0.908,46,"[array([49.85571667, 48.46205777, 49.72494033, 49.36232356, 49.85937204,
       48.77659638, 49.80350377, 48.10781386, 49.87695833, 49.92579928,
       49.95414169, 48.45211721, 49.62060812, 47.51264677]), array([45.71145991, 49.59607541, 49.97902412, 48.6809567 , 49.9017724 ,
       49.86374489, 48.39351338, 49.75007822, 49.92342511, 49.2084163 ,
       49.48741585]), array([49.82684229, 49.91182527, 43.62680952, 49.56352588, 49.7976229 ,
       49.63595737]), array([49.85396324, 49.623156  , 47.89431704, 49.56709059, 49.92989235,
       49.29291223, 46.6717796 ]), array([49.71779222, 46.96111755, 47.41315004, 49.04218496, 49.830989  ,
       49.9519027 , 49.31391757, 48.64958816])]"
14,0.912,44,"[array([49.27842625, 49.90895695, 47.81933828, 49.82696571, 49.88837824,
       49.0331585 , 49.22442762]), array([49.33764289, 49.611264  , 49.49064642, 49.9757608 , 49.23929178,
       49.41294964, 48.87785675, 49.98648013]), array([48.10343906, 48.6971454 , 49.8144946 , 49.21351769, 49.92956445,
       49.49969637, 49.46828503, 49.40090143, 47.92633962]), array([49.47723809, 47.38428986, 49.95749905, 46.33850112, 48.0631486 ,
       47.51644526, 49.78860972, 47.72056653, 48.15807019, 49.56546233,
       42.94400785, 49.44020444, 49.20801641]), array([49.08548752, 47.85251039, 48.92173365, 42.74194255, 49.12864383,
       49.75341612, 49.72738712])]"
16,0.926,37,"[array([47.23000623, 49.19883482, 49.88893965, 48.95925717, 49.87514134,
       48.54884752, 46.81473052, 48.60355073, 47.89833481, 49.5015823 ]), array([49.94767676, 49.98099885, 49.03855184, 49.72407725, 49.05223543]), array([49.96818794, 49.7365793 , 49.44620144, 49.62178135, 47.15079892,
       49.88736021, 44.68984366, 49.9142239 ]), array([48.75471553, 49.19284431, 47.01198647, 48.49807323, 49.44195648,
       49.8408674 , 49.23749841]), array([43.22902716, 48.64731592, 49.26230643, 49.12281911, 48.95215453,
       48.48824157, 49.20013948])]"
18,0.968,16,"[array([49.91637561]), array([49.68198206, 49.45070382, 42.68249913]), array([49.3800464 , 49.78824594, 48.3110222 , 49.68230979, 48.41716478]), array([49.18186978, 49.66936602, 49.54953205]), array([48.12028795, 49.71181475, 47.61445878, 49.94076218])]"
