angles,ipr,los_count,distance_cpa
0,0.992,4,"[array([47.18083161]), array([], dtype=float64), array([49.8701096]), array([36.31796343]), array([49.78383231])]"
2,0.992,4,"[array([], dtype=float64), array([46.36183097]), array([48.49009262]), array([49.53369874, 49.6388505 ]), array([], dtype=float64)]"
4,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
6,0.988,6,"[array([], dtype=float64), array([], dtype=float64), array([48.61332674, 43.59094338]), array([45.30266257]), array([42.79090171, 45.52870894, 20.60945761])]"
8,0.994,3,"[array([], dtype=float64), array([49.9134895]), array([], dtype=float64), array([48.55074915, 49.90140078]), array([], dtype=float64)]"
10,0.992,4,"[array([48.27828005, 49.85693456]), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([37.37997018, 47.98079561])]"
12,0.994,3,"[array([47.39057084]), array([41.37277999]), array([], dtype=float64), array([47.53356293]), array([], dtype=float64)]"
14,0.996,2,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([45.76791084]), array([49.88668082])]"
16,0.994,3,"[array([], dtype=float64), array([], dtype=float64), array([48.76523026]), array([], dtype=float64), array([45.34302129, 45.60539965])]"
18,0.986,7,"[array([48.9165287]), array([49.79346576, 39.62417164]), array([39.94881519]), array([47.4224542, 49.7696161]), array([46.01137351])]"
20,0.992,4,"[array([], dtype=float64), array([], dtype=float64), array([49.94930113]), array([48.14032751]), array([48.64532784, 49.79984961])]"
22,0.986,7,"[array([], dtype=float64), array([47.06594105]), array([49.05435214, 46.97436594]), array([28.7583152]), array([47.33845348, 48.87052684, 39.49005088])]"
24,0.992,4,"[array([48.73533615, 48.37498984, 39.43201651]), array([47.78892058]), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
26,0.992,4,"[array([46.72066397]), array([], dtype=float64), array([48.68270808]), array([44.3261292]), array([49.81798234])]"
28,0.994,3,"[array([49.98298953]), array([49.73938763]), array([], dtype=float64), array([], dtype=float64), array([49.33718267])]"
30,0.986,7,"[array([29.86261223]), array([47.15312092, 48.68872436]), array([48.97893712]), array([48.61648777, 25.56195516]), array([48.11626094])]"
32,0.992,4,"[array([], dtype=float64), array([49.96129959]), array([], dtype=float64), array([49.68095261, 37.4755256 , 49.58508758]), array([], dtype=float64)]"
34,0.998,1,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([49.13987379]), array([], dtype=float64)]"
36,0.992,4,"[array([], dtype=float64), array([49.71716572]), array([49.46249556]), array([49.13999166]), array([49.13759897])]"
38,0.996,2,"[array([], dtype=float64), array([], dtype=float64), array([48.56781371]), array([48.77444322]), array([], dtype=float64)]"
40,0.986,7,"[array([46.89316345, 49.12009683]), array([47.33250419, 26.67908101, 48.62749488]), array([], dtype=float64), array([49.9294918]), array([40.09740525])]"
42,0.994,3,"[array([40.63156869]), array([], dtype=float64), array([], dtype=float64), array([45.87065039]), array([49.75510186])]"
44,0.992,4,"[array([], dtype=float64), array([49.4425212 , 44.50113006]), array([44.20241955]), array([], dtype=float64), array([47.22546414])]"
46,0.988,6,"[array([49.23446343]), array([49.07625485]), array([40.29901821]), array([46.964316  , 49.81551193]), array([42.46173007])]"
48,0.988,6,"[array([47.34891159, 48.25319466]), array([48.28910614, 46.57877583, 33.4162008 ]), array([], dtype=float64), array([42.61235798]), array([], dtype=float64)]"
50,0.986,7,"[array([], dtype=float64), array([47.49326462, 47.50164676]), array([48.80282008]), array([46.27172127, 48.99481423]), array([46.13615776, 47.91493897])]"
