angles,ipr,los_count,distance_cpa
0,0.802,99,"[array([49.36543633, 48.00919126, 48.33674884, 46.91767973, 45.3361295 ,
       48.39573413, 47.42170922, 45.14018638, 47.47430876, 49.96955343,
       49.15658061, 38.89817404, 46.08363043, 49.69518364, 44.62515469]), array([39.35372748, 36.44054448, 42.72114716, 25.84186579, 47.27886949,
       47.84109733, 41.99996501, 39.9587993 , 49.17468392, 47.04141878,
       47.22028112, 49.99646524, 49.81108548, 46.05736517, 49.67780092,
       34.61233069, 36.28342188, 49.48183443, 44.14290389, 49.75801108,
       48.92478053, 49.41862543, 48.59869757]), array([44.68282754, 40.23019254, 44.74665198, 16.76228023, 47.38632742,
       29.24491328, 42.84904864, 32.39693069, 49.26465794, 48.43837648,
       49.45167362, 49.32435221, 47.24702749, 48.12615759, 49.49796231,
       48.80277246, 49.17364004, 35.88304012]), array([45.94815163, 43.88458376, 36.89816879, 49.23003742, 37.72328534,
       34.49491423, 46.11607526, 48.86304722, 48.53487145, 42.72428743,
       43.15436427, 47.76151012, 38.90696385, 46.06321374, 48.55545981,
       47.14616083, 47.71671637, 33.24015313, 29.91046531, 49.5492896 ,
       47.00150766, 44.66896426, 47.86988857, 49.96731933, 44.25800537]), array([47.39125405, 44.30159643, 46.90125042, 46.99148401, 44.69237309,
       25.91487787, 46.2827887 , 44.4231056 , 46.75209675, 21.37930857,
       48.06768977, 46.96704529,  3.18715913, 49.91365945, 18.11967551,
       49.65967041, 46.87698535, 49.07304209])]"
2,0.984,8,"[array([49.96312249]), array([48.97023891]), array([], dtype=float64), array([49.41521169, 49.97811123, 49.55441374]), array([45.78929043, 49.19263015, 49.8209831 ])]"
4,0.948,26,"[array([49.18311881, 49.08351205, 49.6712803 , 49.31884567, 49.75746294,
       49.9791154 ]), array([49.23710821, 49.32894977, 49.9662982 , 49.78685704, 49.49929929,
       49.47798562]), array([49.01477704, 49.67416006, 49.93361153, 49.82309142, 49.84612261]), array([49.42324052, 49.95849712, 49.79215259, 49.94504583]), array([49.76702676, 48.92859913, 48.47487942, 49.81576057, 49.93111718])]"
6,0.94,30,"[array([49.59885815, 49.70093978, 48.91928043, 49.8355606 ]), array([49.2304796 , 49.77839433, 49.67694114, 49.46798631, 49.74046092,
       49.88111099, 49.400735  , 49.67974015, 49.81752579, 49.8633718 ]), array([49.71710671, 49.10287258, 49.19607468, 48.63120872, 48.62854055,
       49.98081633]), array([49.46215712, 49.25018533, 49.85176972, 49.37618747, 49.71115277,
       48.98791949, 49.61694948]), array([49.66360942, 49.28568548, 49.49932205])]"
8,0.896,52,"[array([48.82138548, 49.88930522, 47.97262842, 49.78610755, 49.68795926,
       49.46716725, 49.82143417, 49.89976452, 49.64139236, 49.61371885,
       49.6145287 , 49.62449578]), array([49.80953634, 49.39548106, 49.72833461, 49.72491353, 49.79436787,
       48.60413638, 49.5497518 , 49.30819964, 49.382313  , 49.50645047,
       49.71883413, 49.13143208]), array([49.16934613, 47.39482731, 49.61572197, 49.6061537 , 49.88858803,
       49.61240785, 49.94315035, 49.84874375]), array([49.83491936, 49.73122104, 45.42273602, 49.66997058, 49.79108292,
       49.71403623, 49.76506326, 46.41360222, 49.99355616, 49.86776616,
       49.61937953, 49.38002364]), array([49.35090297, 49.56140649, 49.30428146, 48.96356101, 49.82640778,
       49.91214826, 49.81787487, 49.95405383])]"
10,0.87,65,"[array([49.49207318, 49.48562748, 49.88138815, 49.32924562, 49.87113827,
       49.3884326 , 49.65040956, 48.6819752 , 49.56899343, 46.47328255,
       49.33074992, 49.42062193, 49.54014911]), array([47.99919356, 49.29220986, 48.87795546, 48.34364857, 49.7928236 ,
       49.64425756, 49.10312033, 49.28582267, 46.77574585, 49.45109297,
       49.37775971, 49.47818506]), array([49.58423949, 49.46289232, 49.0208044 , 49.35472222, 49.00932015,
       49.28589236, 49.92746575, 49.72058327, 49.51503624, 49.115293  ,
       48.80705432, 49.91879774, 49.85491157]), array([49.15806475, 49.3089052 , 48.27311923, 48.88688073, 49.29409015,
       49.52355699, 49.52696666, 49.32147915, 49.20511242, 49.8728723 ,
       49.74273803, 48.72936977, 49.27860429]), array([49.41519916, 48.29620567, 48.17876038, 49.55121514, 49.86596142,
       49.86611207, 47.06100329, 49.36319057, 49.25951264, 49.8549282 ,
       49.05028385, 49.51398535, 49.4289157 , 49.02978758])]"
12,0.836,82,"[array([49.20969234, 49.55702332, 49.67971213, 47.7308727 , 49.05164455,
       48.59450223, 49.07855287, 49.26307721, 49.98362999, 49.79773969,
       49.01387427, 48.7694355 , 48.07454812, 49.21220006, 49.81419838,
       49.11801981, 49.27731675, 49.81818747, 49.2961923 , 48.65681015,
       49.57101609]), array([49.91818526, 49.61200314, 49.14668892, 47.68098845, 49.5030481 ,
       47.77158514, 49.28541817, 49.96910816, 49.33281462, 48.76272556,
       49.44077029, 48.64914041, 49.38502283, 48.98402096, 49.14387151]), array([48.10400426, 49.72126606, 49.28360599, 48.05884804, 49.92526109,
       48.14814388, 47.69275913, 49.90414788, 49.53702413, 49.49368624,
       46.02198811, 49.96169263, 49.51861417, 48.44576938, 49.06698364,
       49.47952339, 49.00757935, 49.14267972, 49.96878957]), array([48.17763673, 49.82214724, 49.67673721, 49.28830437, 47.98518794,
       49.39384454, 48.9370399 , 49.65941808, 49.30300791, 48.53584891,
       48.75807232, 49.73320643, 48.85291512]), array([49.51936704, 49.27208063, 49.47278378, 49.47308617, 47.96329363,
       49.69628497, 49.24425921, 48.80982757, 49.91644427, 49.68817768,
       48.97102645, 49.19019164, 49.83012697, 49.33335319])]"
14,0.844,78,"[array([49.00432621, 48.56257204, 49.27735248, 49.21846724, 49.76413189,
       48.43792027, 49.11858307, 49.63897429, 49.16682371, 48.12117761,
       49.49119901]), array([49.12905822, 49.55823006, 48.20968848, 48.43603139, 49.81490175,
       49.42572636, 48.67818664, 49.22697385, 48.19174826, 48.37032544,
       48.39030356, 48.80350202, 48.90368951, 49.84552049, 49.36875908,
       48.8453388 , 48.02510668]), array([48.72809599, 49.33348829, 48.91511685, 45.67708491, 48.95912857,
       49.02879845, 46.64775256, 48.62076856, 49.46681497, 48.39792013,
       46.10957784, 45.65675149, 47.66471823, 47.98294391, 49.49325155,
       48.95187973, 48.69691543, 47.87688471, 49.54428088, 47.84745438]), array([48.10610823, 49.17976794, 49.72485892, 49.72890433, 48.70644884,
       49.58224729, 49.54353561, 49.85288343, 49.06257801, 49.37832808,
       49.88215362, 49.91398177, 49.90661117, 49.7632556 , 49.25600151,
       49.24806912, 49.47001296, 49.74634332, 48.05689226, 48.53584083]), array([48.7234754 , 47.17677257, 48.39524372, 49.22879417, 48.02960321,
       49.28273124, 49.03919097, 47.97452856, 47.5426721 , 49.38364777])]"
16,0.842,79,"[array([47.1946016 , 47.63430842, 49.96885822, 48.62040171, 48.47223242,
       48.87071723, 49.45752963, 49.32322343, 48.4206499 , 48.89812752,
       49.46395455, 49.08690651]), array([49.7255439 , 49.5946454 , 48.91035375, 49.58736516, 49.27533952,
       44.54220096, 48.04611312, 49.59758996, 47.99843191, 49.43873129,
       49.5504559 , 49.77293941, 49.00712607]), array([49.02839277, 47.59109523, 48.62794898, 49.66809534, 49.43955226,
       48.37292678, 49.2566254 , 48.0069718 , 48.11929007, 49.79779037,
       49.56516007, 49.93394412, 49.63262945, 49.87457501, 49.30599065,
       49.68162482, 49.81728904, 48.03356294, 48.34808657, 48.82039088,
       49.26631883, 49.12010457, 48.88442819]), array([49.65449576, 48.7708724 , 48.4179586 , 47.37652546, 49.41785725,
       49.1799564 , 49.76083619, 46.87452018, 49.79254316, 48.22839471,
       49.18992883, 49.41818897, 49.69597076, 48.38442994, 48.92023487,
       46.97487921, 48.56719864]), array([49.16781625, 49.33322803, 48.54270976, 48.34608625, 49.2972559 ,
       48.90278825, 47.76861459, 48.23232353, 49.3357223 , 48.50526107,
       46.55219948, 49.64814454, 48.39983597, 48.22638993])]"
18,0.856,72,"[array([49.43553661, 48.76210237, 49.39616398, 49.21417604, 49.54151543,
       48.43105297, 49.24926121, 48.82984543, 49.46983618, 49.15370187,
       47.39674018, 49.70172175, 48.16040463, 49.11491327, 48.96283016,
       48.50744564, 46.63824209, 49.63265172, 49.11201759]), array([48.26656291, 49.40767135, 48.46095522, 49.21572026, 49.33491522,
       49.73793267, 49.28569087, 48.56554542, 49.61760271, 48.85611139,
       49.90040454]), array([46.03592351, 48.47454658, 49.02094216, 49.57535363, 46.17100201,
       49.10884828, 48.47388684, 49.31049006, 49.85623736, 49.21823416,
       49.48550544, 49.66047839, 49.22470142, 49.04017991, 49.7932244 ,
       49.68442075, 49.06364009, 48.63515498, 47.68620123]), array([48.48402282, 48.16263293, 48.47652552, 49.08734583, 49.08601501,
       47.6018313 , 46.51681254, 48.81814507, 47.97263692, 49.74581915,
       46.95013465, 48.64890885]), array([47.92410654, 49.60418351, 47.39775604, 49.40743495, 49.17628978,
       48.56931294, 49.34981792, 49.25478126, 48.12914798, 49.35433074,
       48.14998361])]"
