angles,ipr,los_count,distance_cpa
0,0.734,133,"[array([41.52694342, 45.3875462 , 45.72538113, 47.6658216 , 34.35312051,
       46.15811661, 24.43424591, 49.32896727, 44.87457144, 41.55528452,
       41.9918954 , 41.61716475, 42.31935643, 48.35990036, 29.42359928,
       40.50853768, 33.34901839, 44.45176312, 41.9487995 , 23.25562179,
       47.61587676, 49.35716672, 45.39464695, 49.75846805, 27.97147562,
       30.36114809, 35.1563544 ]), array([46.96330402, 44.84316281, 45.16063328, 48.0406324 , 48.48756663,
       48.97704097, 46.36932579, 48.52791536, 49.8400441 , 46.2744008 ,
       48.0104411 , 36.2115024 , 44.25340521, 49.15243959, 48.60933089,
       19.57874734, 48.17047361, 48.11254224, 48.08787536, 46.00407476,
       36.80315926, 43.19165122, 14.23459863, 42.90842616, 29.05770103,
       35.42149029, 42.59320892, 43.11444512, 28.34901479, 47.74294261]), array([48.27925624, 43.6931944 , 46.67328494, 45.02210826, 36.41089243,
       49.1574986 , 43.50676193, 46.54348715, 46.56664656, 44.32791769,
       14.80272596, 45.96705469, 47.39592223, 44.49690155, 46.04654917,
       47.24342985, 17.82687503]), array([40.21970409, 48.34076052, 42.12078864, 31.46792594, 45.08715711,
       41.83976069, 20.54386267, 49.16251632, 45.96545525, 20.18915373,
       48.83716808, 47.53644972, 47.28809874, 48.51197808, 29.99801862,
       22.80722215, 42.19611972, 45.83081555, 48.6993115 , 36.09995989,
       47.96823472, 21.36361934, 43.65813507, 44.28052094, 46.91944771]), array([46.23090933, 49.97822654, 48.52469246, 41.67752354, 35.54554812,
       35.74169995, 47.08190328, 49.59990995, 19.82796685, 36.26520058,
       48.49725223, 46.84991372, 46.690968  , 49.81435795, 48.51716344,
       31.15043877, 46.01403945, 39.31449522, 16.31642741, 23.74324315,
       37.63774779, 44.54213354, 11.83505157, 46.97063405, 49.05529211,
       47.32137146, 42.59208678, 48.47094704, 46.20786774, 47.08857395,
       43.29012065, 22.59856437, 35.81760883, 47.01142902])]"
2,0.992,4,"[array([49.05975559]), array([48.25905401]), array([48.32024931]), array([49.36640911]), array([], dtype=float64)]"
4,0.996,2,"[array([], dtype=float64), array([], dtype=float64), array([49.99639855]), array([], dtype=float64), array([49.80663323])]"
6,0.998,1,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([47.97427109])]"
8,0.988,6,"[array([48.71537902]), array([], dtype=float64), array([49.99501064]), array([49.5565563 , 48.80003056]), array([49.89211674, 48.93580501])]"
10,0.988,6,"[array([], dtype=float64), array([48.44508878]), array([49.89150854, 49.23553857]), array([49.13898326, 48.83709964]), array([49.19582196])]"
12,0.992,4,"[array([], dtype=float64), array([47.92843368]), array([48.18993188, 49.0465119 ]), array([49.18713483]), array([], dtype=float64)]"
14,0.982,9,"[array([49.75021385, 48.82935929, 49.5614176 ]), array([49.91474405, 49.79486697]), array([], dtype=float64), array([49.89942586, 49.37455426]), array([45.79943967, 47.25169601])]"
16,0.986,7,"[array([], dtype=float64), array([49.64503871]), array([49.73790064, 49.6471479 , 49.90998377]), array([48.93352552]), array([49.53926073, 49.57278311])]"
18,0.988,6,"[array([48.28630677]), array([47.5030614]), array([49.39241488, 49.79931053]), array([], dtype=float64), array([49.99646614, 49.4718497 ])]"
20,0.988,6,"[array([49.31519247]), array([49.61671373, 49.63099943]), array([], dtype=float64), array([47.18213209, 49.86775466]), array([49.68076923])]"
22,0.984,8,"[array([48.4473473 , 49.07390034]), array([], dtype=float64), array([48.92591128]), array([48.63861148, 48.95033064, 47.27247829]), array([47.2805721 , 48.53785129])]"
24,0.992,4,"[array([], dtype=float64), array([], dtype=float64), array([49.01960961, 49.51480825]), array([], dtype=float64), array([49.9018039 , 49.47338142])]"
26,0.992,4,"[array([], dtype=float64), array([47.91460585]), array([49.23589334, 49.27345596]), array([49.76626212]), array([], dtype=float64)]"
28,0.98,10,"[array([48.51917075]), array([49.61228052]), array([49.51642888]), array([48.6620496 , 49.28398961, 49.89354609, 49.71800082, 49.05329541]), array([49.08393361, 47.41344553])]"
30,0.976,12,"[array([49.19845116]), array([49.96595627, 49.62732889, 49.46052653]), array([48.09846164, 49.85168362]), array([47.92250591, 49.32028281, 48.08718255, 48.87401405, 47.55314693]), array([49.48675699])]"
32,0.984,8,"[array([48.8191391]), array([49.61883794]), array([], dtype=float64), array([49.00826832, 48.62660283, 49.26412879, 49.67138976]), array([49.58690969, 49.52771307])]"
34,0.978,11,"[array([49.13877074]), array([48.64736053, 48.96949507, 49.48933449]), array([46.98900042, 47.87944814]), array([48.6413738 , 49.89958746]), array([47.87234419, 46.80723319, 49.51604934])]"
36,0.954,23,"[array([48.81204081, 49.66465759]), array([49.45107881, 49.37364759, 48.97410531, 49.87268982, 49.45007935,
       49.62763647, 49.73091957, 48.14898755, 49.25509962]), array([49.41777665, 49.91704523, 49.34127268, 48.76371296, 49.81856131]), array([49.87762222, 48.8430257 , 49.76051256]), array([49.97637106, 47.5580532 , 49.35733836, 49.02061416])]"
38,0.954,23,"[array([49.36661669, 48.37936325]), array([48.32411714, 49.64000581, 48.26757568, 47.65882392, 48.17986182,
       48.51371333, 48.75775817]), array([48.98503354, 46.63599358, 48.65630487, 49.38093119, 49.48468948]), array([49.71268947, 46.75994029, 49.7427782 , 49.56300782]), array([44.95961491, 49.52626541, 48.47896532, 49.75045201, 49.87533872])]"
40,0.958,21,"[array([48.66177739, 49.45888945, 48.79848985, 49.61113492]), array([49.79047786, 46.87001163, 48.55280888, 47.65344916, 48.15417458]), array([49.78506094, 48.60094312, 48.28219547, 46.18577608, 48.33345964,
       48.80004457, 49.87185716]), array([49.14006989, 48.87114649]), array([49.65640221, 46.47642432, 49.3863468 ])]"
42,0.966,17,"[array([47.98905464, 49.7018925 , 48.26707062]), array([46.11375897, 48.41544974, 49.38261789, 48.83579717, 49.51120539]), array([49.64528975, 45.33199677, 47.74429155, 48.66917072]), array([39.03823409, 49.49441293]), array([48.16908634, 49.86963807, 49.73526485])]"
44,0.922,39,"[array([46.42686661, 49.64618147, 49.36361284, 49.96080229, 49.45984428,
       47.3567665 , 49.19563914, 49.94962513]), array([48.57064265, 48.29920676, 49.5861359 , 47.88400904, 49.38109388,
       48.39551695, 49.44652164, 49.3153685 ]), array([49.89276883, 49.57035986, 49.34769754, 48.5646084 , 48.23077869,
       48.04732334]), array([48.40310053, 48.11857371, 49.68697708, 48.13742681, 49.34251057,
       49.76508417, 48.55919965]), array([49.38332644, 47.43792667, 48.52799156, 49.12353645, 48.25663967,
       48.17733261, 48.30776046, 49.15925479, 48.87889524, 48.27334153])]"
46,0.926,37,"[array([49.872807  , 47.39488827, 49.67705844, 47.05681791, 48.84686921,
       49.74238342, 41.47520334, 49.45562202, 46.58478061, 48.6768111 ]), array([47.40695708, 47.88292229, 39.01608143, 48.94142176, 49.57756097,
       46.7573272 ]), array([48.73779767, 49.19566982, 49.62786828, 49.2162552 , 48.60149999,
       49.43619032, 49.90271552, 49.48259891, 49.4711929 , 49.852224  ,
       48.19380035, 49.8975448 , 45.10950574]), array([46.51240281, 48.86268759]), array([49.96245104, 49.71103177, 49.70422573, 49.55862127, 46.78236325,
       48.25449983])]"
48,0.942,29,"[array([49.04691858, 48.96919556, 48.75527158, 48.16440218, 47.35954845,
       48.80066001]), array([49.18802482, 49.61617911, 48.96492045, 49.49178714, 49.66825576,
       49.68048617]), array([49.55152892, 49.99062623, 49.01993399, 49.30149769, 49.20829687]), array([49.57486202, 48.90571438, 47.69803308, 44.61326679, 48.96568545,
       40.11191668, 48.57569676]), array([48.15813878, 49.12329397, 49.2477946 , 49.27384032, 49.43788329])]"
50,0.936,32,"[array([47.905306  , 49.34191856, 48.83486723, 49.89269124, 49.66478291,
       49.682556  ]), array([49.93846547, 48.77259559, 48.75950349, 49.96795823, 49.65756309]), array([48.98080503, 47.52844448, 49.77386823, 48.52014366, 49.324613  ,
       49.92453718, 46.37086364]), array([49.53487476, 49.03395357, 49.54603672, 48.64468259, 48.81143837,
       49.56331684, 49.60326485, 48.34604159, 48.26476362]), array([47.67229215, 48.94020542, 49.88739745, 48.92446606, 49.63384359])]"
52,0.94,30,"[array([47.58544934, 49.94947113, 49.32083429, 48.76880973, 48.61629088,
       48.92883517]), array([47.76271332, 47.2763743 , 48.34873172, 49.76192326, 49.30083039,
       49.61329837, 49.67779134, 49.04545062]), array([49.91782424, 49.98704328, 49.0347991 ]), array([49.46845553, 48.73281771, 49.07446929, 49.82670807]), array([49.60870478, 49.35779265, 48.63036763, 46.78719506, 49.54246379,
       49.23365508, 49.05908557, 48.3204991 , 49.38480107])]"
54,0.922,39,"[array([45.40391023, 48.94831203, 48.75520627, 48.86051801, 49.43949979,
       48.81035011, 49.30865187, 49.22949883, 47.93973793, 49.40224557,
       44.70249861, 49.77061785, 49.55208222, 49.02429271]), array([47.938379  , 49.87995874, 49.19756279, 49.21241516, 48.85668451,
       48.81822711]), array([48.96804842, 47.28280997, 48.63116617, 49.80028446, 49.54904875]), array([49.64582736, 49.52440056, 48.8628549 , 49.4471938 , 48.47968261,
       48.87722783, 48.67864575, 49.4709681 , 48.54050869, 49.98101124]), array([47.32845769, 49.76939436, 48.19029756, 47.76615533])]"
56,0.904,48,"[array([45.14082928, 49.06951504, 44.43211613, 49.09718527, 49.93280508,
       47.66960945, 48.98045953, 48.9951763 , 49.60546634, 48.89728021]), array([47.82551096, 47.50274695, 49.89896022, 49.48202094, 47.48679743,
       46.83620375, 47.74001994, 48.9992433 , 49.97240477, 49.81396599]), array([48.85641009, 49.44312013, 49.72131599, 46.87426683, 49.74748299]), array([48.75010209, 48.30411851, 47.45544385, 46.56588769, 47.86939845,
       49.16581008, 49.86010976, 49.51821158, 49.69538501, 48.68426615,
       49.82591519, 46.53433965, 48.98219266]), array([49.72139561, 49.14499606, 49.87797518, 49.74206183, 49.78303172,
       49.96018608, 49.8513581 , 48.8290166 , 48.70445402, 49.04707165])]"
58,0.912,44,"[array([49.47102554, 49.90720899, 48.76109525, 46.95478835, 46.44076561,
       48.55625071, 48.60689762, 48.27735282, 49.85477625]), array([49.43440506, 43.80918838, 49.78180525, 49.61411449, 49.03703528,
       49.63645964, 49.62049744, 49.58725256, 49.82840246, 47.07500233,
       49.77405132, 46.29792825]), array([47.50489431, 46.15773226, 49.9502212 , 49.46293386, 49.16452521]), array([48.82370952, 49.92503238, 44.85919447, 49.99219001, 41.27404166,
       49.00232348, 49.30823686]), array([49.52351443, 48.45662816, 48.34002972, 49.81273167, 49.47796018,
       48.17304673, 48.94118807, 48.91224606, 48.57411642, 48.9132765 ,
       48.85807323])]"
