angles,ipr,los_count,distance_cpa
0,0.156,422,"[array([45.01742295, 46.84106934, 41.25461638, 49.92518681, 36.55875387,
       38.08894758, 42.89585085, 48.33280214, 47.36644835, 48.79189421,
       36.96169523, 27.30259847, 46.96353133, 48.0800519 , 43.96891763,
       49.25951113, 33.40901191, 42.74705177, 40.57316797, 46.19409794,
       48.51724795, 27.62986496, 40.18302842, 46.16295904, 47.51742537,
       32.26680385, 30.82813332, 47.80402408, 39.89036041, 39.82870714,
       27.5248648 , 46.31791066, 48.78329173, 32.00565138, 30.52605014,
       48.39527703,  9.23583643, 48.3841093 , 46.77705083, 49.40296973,
       37.23168066, 46.2866764 , 36.99114408, 48.89402926, 22.33166207,
       49.00230652, 36.2410468 , 46.43292787, 28.59998004, 46.16590329,
       11.30582006, 42.52197132, 39.55223557, 46.16246495, 40.63459753,
       49.42614276, 49.75142255, 49.57868481, 46.1091355 , 46.22489668,
       48.49039828, 43.65823999, 33.09487476, 44.33366618, 47.68934059,
       34.29930597, 49.87448104, 30.55335988, 37.25173808, 43.18482721,
       24.00499873, 44.31213779, 34.48353543, 48.21060156, 22.30841707,
       33.79610448, 38.91658236, 45.0153867 , 45.34505361]), array([46.96868539, 49.68604942, 46.75430427, 45.6923582 , 19.57996638,
       48.79935484, 24.83166273, 43.31511241, 38.8608694 , 20.68269734,
       49.83757359, 39.06944098, 38.68041703, 41.8513695 , 36.28097421,
       38.18111614, 23.71155188, 45.03654964, 14.9029788 , 45.35411858,
       26.34438416, 48.38879765, 21.06848529, 40.32620726, 38.10776672,
       11.67727793, 47.9541461 , 45.94968541, 48.96770191, 46.09159683,
       47.13040969, 40.37250306, 47.53015986, 35.6580866 , 49.86364177,
       49.89068921, 31.56910733, 28.24456161, 48.2479016 , 45.19187777,
       45.26053579, 43.37069224, 38.14167449, 49.74133943, 42.71525088,
       13.3854539 , 45.86691731, 32.20423173, 48.16871862, 23.60387709,
       48.0770825 , 22.3385456 , 47.59749244, 49.34612448, 49.6587479 ,
       38.69881867, 33.85375263, 33.35422022,  9.2861867 , 25.68218457,
       38.41370828, 44.6799927 , 36.83188923, 36.22840838, 48.22227952,
       47.40494019, 36.54888099, 20.88217573, 41.99569382, 27.57809063,
       23.09282136, 47.7831032 , 12.71547441, 39.35367643, 46.46444568,
       39.76847345, 47.76678878, 39.80952749, 38.43177886, 44.69052623,
       20.61454433, 26.86341601, 42.26356877, 44.80072213]), array([45.3730076 , 19.581375  , 42.93481825, 25.42293172, 28.6079132 ,
       44.22139097, 24.63732524, 48.47772942, 39.34251273, 21.230634  ,
       44.64895226, 42.69663206, 47.78127548, 43.92544474, 38.38608774,
       20.93332349, 34.3792392 , 40.09927586, 41.56634404, 35.59076545,
       28.802296  , 46.65371154, 47.76595696, 41.81034352, 43.27757301,
       11.46609659, 33.65107462, 35.98327869, 17.74923658, 13.35639405,
       24.92929275, 43.47789529, 37.72836099, 18.98331264, 23.00378575,
       18.86634697, 47.63033154, 48.34539236, 35.72008482, 40.62197795,
       11.26517986, 39.49960551, 39.07382225, 34.6751952 , 47.20741964,
       48.93877031, 13.72970773, 13.49404821, 20.87908225, 48.90261635,
       44.86534947, 46.14817354, 20.51549882, 28.23606972, 22.9849486 ,
       33.11568179, 42.2326342 , 37.72139716, 47.99327048, 34.41125665,
       48.7974196 , 15.73500832, 27.86387906, 17.86505743, 20.29534591,
       27.66344713, 47.36331318, 49.20611679, 40.54321207, 20.68526838,
       39.1754779 , 49.67655896, 29.2351161 , 26.85033244, 30.56660593,
       43.82141527, 38.46140574, 37.98562374, 39.7940713 , 33.60239533,
       39.59256318]), array([17.72352677, 40.68517962, 48.81772175, 34.96116235, 44.7656051 ,
       49.01587123, 45.44923741, 36.93228849, 47.70821667, 33.4244031 ,
       21.79212047, 20.07898454, 23.28055003, 32.84134028, 40.41311832,
       37.56317138, 13.34278777, 48.53269783, 41.29928304, 38.41026399,
       22.02782507, 36.61716931, 42.49549773, 38.98410289, 32.40040154,
       45.36733223, 23.36967953, 44.55303989, 21.64791769, 32.46914672,
       21.4693089 , 49.18851187, 42.53996544, 39.65443182, 37.092025  ,
       31.09202611, 11.73021217, 31.91378887, 47.05851684, 38.89169893,
       17.60168968, 31.92148757, 46.64784127, 39.50495947, 23.57408877,
       46.56239331, 42.27605823, 35.86062678, 26.49999023, 17.37134961,
       39.1291294 , 47.83679881, 28.94154799, 40.31773669, 45.25602443,
       30.5021312 , 43.38936068, 49.29372741, 34.45977811, 24.76151462,
       48.78526167, 36.05992347, 46.68526488, 44.81364733, 41.72272162,
       21.08607037, 32.32867472, 46.03490079, 49.82791986, 18.5500391 ,
       45.40215911, 49.9868315 , 40.01748974, 35.13304117, 36.57240409,
       41.39486643, 28.21790992, 42.35977731, 47.19692516, 45.62098375,
       40.96816303, 13.04939146, 49.58591688, 24.54086908, 37.56726789,
       44.42495478, 33.15582953, 43.82488275]), array([49.66531431, 38.17926458, 44.70401345, 47.82382785, 18.52575845,
       49.05893235, 25.96393504, 49.58073089, 21.01879953, 46.15860323,
       40.13999012, 46.23315567, 43.39777233, 44.23132172, 39.95252732,
       48.1248784 , 48.63312693, 45.90748977, 28.45888358, 37.75935384,
       34.11439464,  9.86765225, 41.17604957, 31.4745609 , 48.25577511,
       15.54238222, 35.00451457, 29.49682341, 41.86151463, 32.2271508 ,
       16.44653791, 38.29542367, 45.01862717, 39.65612753, 23.83251346,
       45.64017883, 10.00726573, 29.2922235 , 49.55066483, 37.61128052,
       26.26598315, 14.64444035, 27.94166103, 49.82823242, 27.50736267,
       39.43968906, 41.27294783, 39.38097487, 45.35468927, 16.98176422,
       28.76761611, 39.56218147, 38.50266825, 42.91857099, 27.33106149,
       40.97609413, 46.92849488, 40.76228472, 21.6055532 , 45.22720348,
       46.58240678, 47.56099217, 35.60345157, 46.15712566, 39.94414436,
       20.86630201, 46.21567722, 22.30032769, 39.48894978, 45.84433597,
       47.54457822,  9.70262565, 35.3704982 , 37.94257452, 26.51547473,
       40.87988679, 39.3974922 , 37.81919114, 23.22343694, 36.09757393,
       24.10467095, 33.1499625 , 14.20735448, 47.99029186, 25.22692034,
       16.92381078, 43.07609981, 35.5754742 , 22.20970029, 37.82336448])]"
2,0.702,149,"[array([48.93715818, 47.4223274 , 49.9589868 , 45.43368301, 47.20837849,
       48.35495732, 38.27448962, 49.82633561, 47.04498948, 48.92247099,
       41.15342966, 49.61672125, 48.25405892, 48.76711228, 37.17233324,
       25.97856436, 48.03863212, 47.31952338, 49.41742851, 48.5295366 ,
       49.74546976, 42.28281304, 17.95337305, 27.30026224, 43.08921253,
       48.1262744 , 44.57098941, 49.21071396]), array([49.19345465, 47.83482468, 48.47008936, 49.9533261 , 49.95630452,
       44.17645679, 48.85368605, 49.34729807, 45.68004758, 48.54757462,
       47.75502207, 49.58186183, 42.08067469, 47.78084573, 49.60996632,
       48.0942653 , 43.89798846, 49.74792738, 40.39805227, 43.80993796,
       46.76508954, 48.89474761, 49.66522027, 49.81146627, 47.28411123,
       49.79805639]), array([34.84109777, 47.85427018, 41.23483872, 48.51477946, 45.10256898,
       49.2615329 , 49.45235253, 49.14999622, 49.98064319, 44.46558922,
       33.80296004, 49.22405932, 49.32953519, 35.24103894, 45.10743391,
       27.22388939, 39.93046407, 49.85549317, 43.34956661, 47.40857434,
       49.39685222, 45.64039538, 49.95766682, 47.53572634, 49.69876029,
       48.67586851, 49.75530389, 49.46796854, 49.22690126, 45.02539862]), array([49.91457595, 48.18676593, 48.24282214, 44.01180055, 46.02496398,
       42.92230734, 38.54375899, 49.28993829, 48.54312997, 48.70675668,
       49.86819772, 49.31978164, 47.22297789, 49.40076214, 44.4294583 ,
       34.70910881, 40.53760346, 42.19520117, 49.58739758, 48.00045298,
       49.06319428, 38.63223332, 35.36111947, 48.19766099, 49.3679139 ,
       47.12781867, 47.28724738, 49.76292878, 49.84022363, 49.97160898,
       35.54058737, 47.93876044, 45.0887874 , 49.43479656, 47.62227489,
       46.18269966, 48.37917234, 48.91601176, 48.67164783, 38.28178278,
       43.5726992 , 47.25155822, 47.98232224]), array([48.87174903, 49.46244248, 38.37127627, 36.68134049, 48.89971998,
       49.45583589, 46.22165728, 48.82819277, 47.69190765, 47.48663108,
       46.78046178, 46.14305149, 49.21373682, 43.14900938, 49.35788044,
       48.03605787, 46.54980081, 48.82071069, 49.74084059, 49.68546744,
       49.17761566, 43.27262917])]"
4,0.76,120,"[array([16.45001784, 15.44874886, 36.60519213, 48.07780301, 49.50906972,
       49.87576268, 49.97675538, 49.78491664, 49.83995318, 49.99992836,
       45.17628411, 48.81224245, 36.57285841, 48.81319755, 49.95652062,
       49.65873554, 47.879875  , 47.69058583, 49.46687298, 49.7112242 ,
       48.33491538, 47.63887312, 48.25718579, 49.03947272, 49.64678249,
       41.25004658, 48.88657903]), array([32.94662671, 49.14530907, 49.99631756, 48.74002568, 48.18473384,
       44.73434318, 46.85297475, 49.60242019, 49.47816177, 15.38106147,
       48.60065747, 49.21668538, 46.39859339, 48.32606872, 49.98655532,
       49.53189027, 49.46813827, 49.36029463, 49.0794841 , 35.64463477,
       49.26416011, 49.98929502, 47.83745051, 49.71387371]), array([44.08074853, 46.21901155, 28.41379869, 47.15278439, 49.4588921 ,
       49.49072397, 49.32541396, 42.29151804, 47.93568471, 39.4976355 ,
       48.5318432 , 47.7702834 , 47.97546363, 49.97175085, 49.50401291,
       47.77978957, 48.44131034, 49.17527512, 47.9462958 , 49.83328502]), array([48.97347588, 48.68810379, 39.64440821, 40.80824056, 45.51549919,
       49.8920471 , 49.8783402 , 26.49746605, 47.49686628, 45.33318925,
       49.40871214, 47.99636094, 49.96018085, 48.98250355, 43.15792436,
       47.96594451, 49.92858497, 34.3685689 , 34.81665218, 40.81561405,
       37.44400032, 48.570237  , 49.34812837, 47.74183127, 45.46358482,
       46.74235599, 49.67603362, 46.72225269]), array([ 5.54157009, 45.73113594, 49.18177394, 49.55760544, 46.07060302,
       49.99779176, 49.33050896, 29.69591533, 29.29145168, 46.89864197,
       49.98582978, 48.82560823, 48.0591946 , 49.18946778, 44.97876279,
       41.15433097, 49.51264283, 47.53506638, 49.95088269, 49.91252056,
       46.58248402])]"
6,0.768,116,"[array([45.73189018, 38.17440171, 49.63588655, 47.63950023, 47.76012444,
       41.42323278, 46.95407726, 49.50179091, 49.49072908, 49.11495039,
       49.73705097, 16.4341002 , 49.31972056, 49.21200029, 49.67720351,
       29.68024207, 29.06276446, 49.97313044, 47.44125586]), array([49.98800821, 29.61822239, 49.13350534, 48.47548786, 49.09968838,
       49.90782158, 49.08112473, 47.62100783, 46.96082525, 48.94485446,
       48.59389824, 48.8074182 , 47.3699114 , 49.3692188 , 49.98154206,
       49.49011709, 49.58826958, 49.3280631 , 37.11191517, 27.75719572,
       48.55312425, 16.32932184]), array([41.49399867, 44.97555048, 44.5247431 , 49.87877088, 47.57043436,
       27.48225674, 49.28199449, 38.30840176, 46.99985761, 49.58717428,
       38.20952635, 48.31595307, 49.35877072, 49.843999  , 47.53392252,
       46.83715751, 49.83364422, 31.81842456, 46.47428683, 49.50906656,
       49.38607907, 45.75810103, 45.04703637, 49.79877204, 49.62777533]), array([48.00368061, 49.04329678, 48.90872794, 42.75933381, 48.02389835,
       48.623081  , 49.81741434, 27.71623092, 49.91825959, 45.90832219,
       48.41326418, 49.39735233, 49.82392156, 49.88156825, 47.49503931,
       47.67946928, 49.57941629, 49.33333726, 49.79501701, 49.4020029 ,
       46.95168197, 49.25626246]), array([48.97531403, 49.47067724, 49.5766832 , 49.96898913, 46.42374386,
       49.24380509, 47.14877285, 49.97476659, 49.56451801, 46.72578961,
       49.43485238, 45.57751519, 49.08918667, 49.48719396, 49.62863657,
       48.7626233 , 46.09428482, 49.25759426, 45.76369736, 41.06315158,
       49.46896839, 49.4735694 , 49.86168345, 49.71067311, 49.50185871,
       44.82471901, 48.91889419, 44.63161038])]"
8,0.778,111,"[array([49.78267331, 49.81098421, 49.6019324 , 47.33217992, 49.69542342,
       48.77553827, 48.85609804, 49.35365241, 49.21023824, 49.47526354,
       49.85575158, 47.74041012, 49.19630567, 49.28034383, 46.71620556,
       48.53171017, 39.39493283]), array([49.78269066, 49.70279642, 49.36301844, 49.54962652, 48.9936377 ,
       45.28770117, 47.16498781, 49.71156489, 49.73892318, 48.0121061 ,
       49.58615415, 45.55230314, 48.00055379, 45.4067791 , 48.84654059,
       49.11614515, 40.71524188, 49.49798933, 49.45910103, 49.62040657,
       48.00531215, 48.95081679, 46.75880083, 47.93486452, 49.66597127,
       49.85546885, 49.02794523, 45.92617918, 46.34056413, 48.00053219,
       49.70470147, 46.54713541]), array([28.62860368, 49.34130907, 49.10891202, 47.31067262, 34.24318381,
       48.26444708, 49.80070054, 49.86028358, 48.78662153, 48.39168462,
       49.98470407, 39.78827408, 48.61087087, 45.25634954, 48.01704437,
       47.31922758, 48.64978324, 48.22690809]), array([48.93962368, 49.27909369, 49.92407871, 46.0669394 , 38.92075547,
       47.76387185, 48.38421459, 47.8604532 , 49.79727589, 45.3947903 ,
       46.39268511, 49.39659226, 49.32634419, 45.75670696, 48.18657707,
       49.32983139, 45.3151869 , 44.68557889, 47.8282541 ]), array([48.41117702, 41.75132287, 48.81891952, 49.16529991, 47.52512559,
       46.08136426, 26.71193881, 49.38045244, 49.9805172 , 49.57988025,
       41.84899756, 46.07808928, 39.15757594, 33.8490088 , 49.49987016,
       48.58703548, 49.45130476, 44.58503315, 46.1882092 , 49.22974163,
       48.87041015, 49.35246481, 48.73885777, 46.9886814 , 28.05605428])]"
10,0.782,109,"[array([43.69359079, 48.99749232, 42.23200327, 47.24747984, 46.62098262,
       49.19983085, 48.92916713, 49.12379472, 49.75206213, 48.0242853 ,
       33.96909975, 49.68378017, 48.87132192, 31.01939155, 48.8051367 ,
       48.30187579, 49.24528037, 48.937313  , 49.46093856, 49.64292086,
       48.99617623]), array([48.39832825, 38.39269349, 49.01890623, 48.13228388, 46.23079219,
       47.0354474 , 47.69874285, 49.65287987, 49.96837934, 49.82222713,
       47.19226212, 49.3581667 , 46.11788257, 47.38505076, 49.93894883,
       34.34534414]), array([32.8440427 , 48.62832335, 48.41366057, 49.72044089, 42.19607364,
       49.8276448 , 48.96775337, 48.54636372, 45.41628313, 44.80037372,
       47.78203952, 49.05187446, 49.55403531, 44.91010219, 36.80330121,
       46.76955945, 48.78234199, 45.19998718, 47.67893864, 49.83495517]), array([49.8482463 , 47.82764185, 48.35215951, 46.50033912, 47.43046183,
       49.17965836, 39.25956908, 49.41812216, 46.76652882, 49.0215963 ,
       48.48828182, 46.39369309, 49.30440251, 49.23958247, 48.91080789,
       41.15869396, 46.05886683, 49.58404416, 49.9009326 , 48.1696977 ]), array([49.69506348, 46.2354644 , 48.1545965 , 49.95683984, 48.74295294,
       48.443809  , 27.70962434, 48.99778922, 48.24402172, 45.06003319,
       45.37479023, 48.60950463, 48.496895  , 49.50546565, 48.88555283,
       49.51917849, 47.10399288, 49.13024576, 47.70486711, 49.89861327,
       45.68876303, 48.43961743, 49.49703074, 48.34435607, 49.63054258,
       49.35950397, 49.9198646 , 49.21114968, 36.55208982, 49.12135485,
       49.70440196, 45.96096183])]"
12,0.748,126,"[array([49.22868056, 47.00624608, 48.10495629, 46.69153575, 48.85364305,
       47.7458437 , 49.76422977, 47.97636034, 48.14639246, 46.05742117,
       48.9334065 , 49.03543061, 47.78214453, 49.76993659, 49.31201763,
       46.22056595, 40.46223989, 15.92853359, 48.34819538, 49.44084883,
       49.83857037, 49.86617256, 49.82334323, 49.46828891, 26.05336497,
       49.66805042, 49.60395709, 49.53017794, 42.77626995, 48.66559394]), array([40.8089527 , 49.03813294, 49.46540993, 48.01829451, 37.9671629 ,
       49.05245039, 48.33647833, 40.34323979, 48.43318589, 48.39872137,
       30.22787825, 48.74893743, 48.62441494, 49.70487325, 47.55347558,
       49.04326589, 48.30736263, 41.69483108, 48.71321837, 48.40484696,
       49.05783355, 49.25308698, 46.0534306 , 48.90671245]), array([49.48579871, 43.05273097, 49.76993013, 49.74893598, 47.39711281,
       49.75470124, 49.69422318, 49.60725151, 49.84018424, 48.5713449 ,
       48.93255543, 49.42062116, 49.76817626, 48.17009424, 16.58596275,
       38.99823502, 45.20197042, 47.52717846, 48.53603638]), array([46.27750816, 49.10876544, 49.60568395, 36.25063013, 48.10479162,
       48.96311384, 48.85542825, 49.02324212, 46.78795601, 39.73446475,
       47.05083159, 45.57588468, 49.64751157, 49.96395418, 48.9670077 ,
       44.42366935, 47.92872872, 45.49352577, 48.80485897, 44.58582763,
       43.23202633, 48.8578654 , 43.05875657, 48.3435507 , 49.34394734,
       49.73234532, 37.19751915, 48.61627266, 49.94069088]), array([44.91400268, 49.41199137, 48.23491621, 47.71963629, 47.58199366,
       48.45829128, 46.62737792, 43.46730622, 48.9329472 , 49.78488892,
       43.89336319, 44.38937852, 49.9468601 , 47.87894785, 48.15134366,
       45.11066185, 48.90976017, 46.26808998, 48.61467443, 47.71662607,
       49.98278308, 47.56434527, 47.92363074, 49.04477684])]"
14,0.716,142,"[array([48.64087223, 47.23170006, 49.62392781, 48.92807455, 42.2736732 ,
       48.1084962 , 46.02995537, 47.48614639, 49.15399145, 48.74976616,
       44.6472707 , 48.01065498, 49.02692714, 49.18510213, 48.92957504,
       48.16527544, 44.08000925, 46.95860339, 46.63462455, 49.96335109,
       43.58932194, 49.09572111, 49.22259416, 48.20010525]), array([11.65966056, 46.5331031 , 49.5493591 , 49.85584289, 47.52256857,
       49.31388353, 49.87134675, 49.06047448, 48.31437614, 38.67975193,
       49.14093891, 48.85761036, 49.47007857, 49.86390442, 49.93462663,
       46.41766951, 46.06076448, 49.62902322, 47.72580882, 48.7842121 ,
       49.76563459, 49.67891713, 47.67097357, 48.75801151, 49.79804969,
       42.3034432 , 49.68751475, 48.76763376, 45.0563382 ]), array([48.22621414, 32.79388381, 47.68676551, 48.22166263, 47.78476999,
       11.80046828, 47.78146111, 48.57427917, 39.43481933, 49.583606  ,
       49.32935665, 49.17639413, 49.61064586, 47.3526399 , 48.76004592,
       47.87148525, 49.95719425, 10.17327543, 38.33330466, 43.81937848,
       48.15571147, 49.11297515, 49.25699092, 48.89913973, 48.5451597 ,
       47.10662725, 47.33611705, 45.53644657, 46.94886357, 47.61410827,
       49.55946744, 46.08887147, 46.49754971, 45.80156221]), array([49.08694689, 48.41264758, 48.42549366, 49.06679165, 49.77012428,
       49.30339624, 43.33541668, 48.43424252, 49.85918664, 34.66628716,
       49.23611216, 48.15023437, 48.47342228, 32.92415898, 48.83711946,
       49.49573595, 49.61575188, 49.32265021, 49.60206995, 39.92731484,
       41.86480541, 49.81062532, 48.44054135, 48.93965638, 48.33997923,
       23.90323189, 49.92156926, 49.94314559, 45.18624004]), array([48.77037815, 48.5355082 , 48.98084903, 49.51990232, 48.46233371,
       49.24475925, 48.29761116, 48.48792246, 49.31966784, 49.68193091,
       42.67728199, 49.59438596, 48.2240251 , 48.10537418, 49.83045643,
       49.46937391, 49.22752143, 44.10878633, 47.61787021, 46.84312991,
       48.62764283, 46.57808308, 44.79899634, 47.18442818, 47.24556146,
       45.05910382])]"
16,0.732,134,"[array([44.05893115, 41.89849708, 45.26667842, 47.80710118, 47.82135853,
       47.84312257, 49.16507131, 49.72629791, 47.24992888, 45.68224857,
       48.11365647, 49.97428491, 49.18755384, 49.53156153, 48.59809907,
       47.16427281, 48.09109506, 48.57747219, 48.50491955,  9.26511526]), array([49.35158062, 49.643867  , 47.03415623, 49.59324234, 46.93454414,
       49.65136068, 47.68410968, 48.72906768, 49.91338094, 48.16032521,
       49.84288561, 46.94971512, 47.47619273, 49.11555528, 46.78467231,
       48.02987703, 48.76050375, 38.24109532, 46.44657171, 49.21843433,
       49.14611207, 43.65736704, 48.34869961, 47.24930226, 48.24900785,
       45.1636051 , 48.2982384 , 45.82162025, 48.79411763]), array([49.02244289, 48.53494822, 49.8401174 , 47.69693237, 48.66893317,
       48.47521815, 32.92979686, 48.74173313, 48.41311542, 46.64809549,
       49.63139755, 46.96166273, 49.06869878, 46.24780481, 25.89247018,
       47.72257869, 48.8469013 , 47.09829004, 46.8229582 , 42.9266323 ,
       48.32470971, 49.30146046, 49.11994134, 44.62149836, 45.55440071,
       48.73099425, 49.25432217, 45.241974  , 44.82930724, 33.49669909,
       47.78747225, 49.90720643, 46.66028696]), array([43.35579701, 48.85933279, 39.1540493 , 47.10357263, 46.6862789 ,
       49.42622604, 45.57386321, 46.98739962, 49.23836104, 47.84768097,
       47.30554876, 49.21178555, 49.77502173, 48.65410701, 46.89718265,
       46.24315666, 49.26863723, 49.69412144, 47.40463014, 46.22853321,
       48.58045123, 48.29577004, 46.35239081, 47.35629961, 43.94244079,
       47.56027084, 47.90906012, 49.2053137 ]), array([47.89573259, 49.88627521, 49.94852816, 42.6903927 , 48.75281835,
       34.51862263, 45.99856034, 47.43299193, 46.96744317, 48.44492766,
       48.25096954, 41.29768762, 36.92361702, 47.26640786, 48.32441984,
       48.04764762, 49.17938595, 49.61981166, 45.42763672, 47.18641852,
       45.18185283, 47.79603349, 48.71913636, 49.89399152])]"
18,0.72,140,"[array([48.84351612, 39.69310046, 43.93064477, 48.86356636, 48.5732937 ,
       31.89904   , 48.48974384, 48.58469981, 43.71760746, 48.22156002,
       48.39198446, 43.73801227, 49.07787273, 46.16503737, 45.78749195,
       48.18721537, 45.69747982, 47.61564806, 49.21416407, 48.09679657,
       49.34451214, 49.99991281, 47.13686273, 45.30888775, 44.48733607,
       48.59479483, 48.26573804, 46.22605813, 49.24152649, 47.15492429,
       49.13507733, 42.74430329, 47.65291301, 49.40111393]), array([48.88579641, 49.51523076, 38.40411918, 48.36860881, 48.51341837,
       48.85826897, 48.0889886 , 43.03778393, 46.94239535, 49.23170983,
       48.37228902, 46.6477712 , 39.63841266, 47.94819254, 49.97045187,
       39.99879011, 47.27980763, 48.67320771, 49.63069233, 44.91292559,
       45.41679455, 49.494255  , 49.58098628, 46.3004836 , 49.791731  ]), array([13.50239915, 43.29044768, 47.88273209, 49.0948523 , 49.06150884,
       49.7569941 , 47.75552156, 48.8065049 , 48.34949701, 48.50547498,
       48.66128093, 43.30736621, 47.85636233, 49.31180248, 48.75033367,
       48.92225047, 49.05721033, 49.67427468, 45.01287552, 48.57750022,
       47.40350815, 49.14069022, 46.24138725, 48.9903898 , 47.39569869,
       48.38881509, 48.29272156]), array([46.6688106 , 49.5397408 , 48.73985005, 49.23476054, 49.9001076 ,
       47.67959489, 42.7527868 , 49.72036522, 48.98362594, 48.86162864,
       48.35240894, 47.31467581, 49.20226897, 45.69108105, 48.79227992,
       48.73799653, 47.22266737, 43.53388338, 46.6853346 , 49.63446817,
       48.75988752, 47.42636808, 49.7326542 , 47.21077248, 49.63538138]), array([47.8789133 , 48.71624812, 46.76681702, 49.03999047, 48.02348881,
       48.82851144, 48.43928453, 48.45917807, 46.86152331, 45.47095422,
       48.70656394, 49.85985197, 46.22415741, 47.89793103, 49.25918389,
       45.72543835, 48.35025392, 47.62968799, 49.11354159, 49.84650428,
       49.4022547 , 42.08457623, 49.50441276, 46.12284728, 44.61698404,
       46.38700071, 49.27414517, 45.11339576, 48.25857293])]"
