angles,ipr,los_count,distance_cpa
0,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
2,0.998,1,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([32.48073087]), array([], dtype=float64)]"
4,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
6,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
8,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
10,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
12,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
14,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
16,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
18,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
20,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
22,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
24,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
26,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
28,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
30,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
32,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
34,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
36,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
38,0.998,1,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([44.12867571])]"
40,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
42,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
44,0.998,1,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([23.78687045]), array([], dtype=float64)]"
46,0.998,1,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([34.32754202])]"
48,0.996,2,"[array([], dtype=float64), array([], dtype=float64), array([41.41738141]), array([46.30340698]), array([], dtype=float64)]"
50,0.994,3,"[array([], dtype=float64), array([36.96383634]), array([], dtype=float64), array([45.21313912]), array([37.04089464])]"
52,0.996,2,"[array([], dtype=float64), array([39.15330063]), array([], dtype=float64), array([37.29696295]), array([], dtype=float64)]"
54,0.998,1,"[array([], dtype=float64), array([], dtype=float64), array([36.43771948]), array([], dtype=float64), array([], dtype=float64)]"
56,0.992,4,"[array([], dtype=float64), array([], dtype=float64), array([39.20671119, 39.19607394]), array([41.88200202, 39.41341622]), array([], dtype=float64)]"
58,0.986,7,"[array([49.12966689, 31.9601322 , 42.69436044]), array([34.53500193, 47.7658809 ]), array([48.90791245]), array([47.49479997]), array([], dtype=float64)]"
60,0.984,8,"[array([46.78144419]), array([], dtype=float64), array([49.52959661, 35.30176039]), array([48.5613588 , 49.85578083, 46.75025104]), array([48.22689626, 48.58855672])]"
62,0.986,7,"[array([], dtype=float64), array([36.86994597, 49.57632988]), array([49.23335216, 49.98992334]), array([], dtype=float64), array([48.47504871, 47.34485922, 48.29287733])]"
64,0.986,7,"[array([], dtype=float64), array([44.13500235, 47.55190289]), array([48.99118755, 48.18783546]), array([47.6763488]), array([46.48064441, 41.76036976])]"
