angles,ipr,los_count,distance_cpa
0,1.0,0,"[array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64), array([], dtype=float64)]"
2,0.024,488,"[array([47.66531004, 40.19231637, 42.5322538 , 40.25965047, 47.09711483,
       46.61398687, 44.89759542, 46.91354245, 39.01601754, 40.89052962,
       40.63992578, 48.86025961, 45.00679058, 45.96109316, 45.93669273,
       44.71425212, 44.52429807, 47.63421015, 41.68953605, 43.81887962,
       46.22527453, 45.34250526, 42.3922646 , 47.13257024, 39.69517419,
       48.53959982, 45.8268347 , 44.67845547, 42.52407132, 43.94179067,
       48.20368436, 44.53268805, 43.2894487 , 45.231521  , 46.89229711,
       48.05345806, 40.26060011, 49.24140851, 44.64553673, 39.15910172,
       46.84440697, 45.26618813, 41.92196341, 44.96152625, 45.59678489,
       45.10667467, 45.99713249, 45.89888823, 43.6924826 , 45.1837598 ,
       42.58229035, 47.40139373, 42.26993898, 48.58858167, 46.21977581,
       46.20114079, 44.92967714, 46.18282114, 45.37132349, 46.71280757,
       48.42696641, 47.06161587, 44.83969894, 37.90080257, 42.43801583,
       44.392613  , 44.7163979 , 44.25743129, 44.77498831, 45.26176509,
       42.96403743, 44.6966951 , 44.8752339 , 43.0745156 , 45.00288038,
       47.18373827, 45.3994013 , 47.38090142, 47.86186572, 44.24695022,
       40.17845111, 45.24355971, 47.67641222, 44.83255097, 40.66850492,
       41.04941658, 46.15520548, 48.26339468, 39.38960454, 44.38717855,
       46.53114373, 44.2383864 , 45.74529346, 47.57488837, 40.94763525,
       46.91628586, 42.60820461, 45.84818777, 45.43515571]), array([49.946607  , 47.64018721, 43.40820471, 44.64456948, 45.31857808,
       45.41567143, 48.63299633, 45.44443147, 48.39454596, 43.42903645,
       44.6344159 , 39.67235468, 45.95717571, 46.25351902, 42.63592603,
       41.87867283, 41.78429312, 44.37180556, 47.32088527, 46.45617654,
       41.16646864, 43.15662032, 42.34507096, 48.77357195, 42.62418057,
       41.15792453, 47.37001457, 46.53794509, 47.05642784, 43.94042464,
       45.02588807, 45.30274588, 45.57637417, 46.62781843, 47.85978317,
       48.18210588, 42.31679874, 43.86923756, 42.38263656, 43.11469332,
       47.04857257, 44.30544774, 47.26725107, 41.89243656, 40.46813359,
       44.96580965, 44.0769942 , 43.57264288, 43.65583309, 49.78115318,
       43.59867075, 46.26665522, 45.38927017, 47.12408814, 42.0691279 ,
       44.60717943, 42.48054538, 41.51079804, 44.08493589, 46.69968704,
       46.29774828, 49.814548  , 47.02789013, 49.5943719 , 44.25267379,
       45.9759287 , 45.06428733, 45.28355759, 48.40872654, 46.79042829,
       46.70168828, 45.43002427, 47.69925208, 44.2892753 , 46.06442305,
       46.38262195, 45.71028947, 41.85082393, 43.58190057, 43.71579465,
       48.29436708, 47.01102917, 48.58121622, 44.16033215, 43.13436448,
       43.52642845, 47.4708381 , 39.73854384, 42.68763448, 47.75105977,
       42.83492933, 47.97598115, 44.8305075 , 46.01733832, 45.91936557,
       48.28984299, 43.2368569 ]), array([43.11785168, 43.62823338, 36.83878611, 39.54317548, 43.69623412,
       46.03100721, 45.09402436, 41.67069034, 38.41267311, 46.30403745,
       47.08898936, 43.82569572, 46.09744043, 43.12547915, 39.49449682,
       41.21275625, 44.27231181, 48.13753088, 45.00445586, 44.24572674,
       45.8855332 , 42.40281006, 43.91318298, 46.81785398, 41.67083883,
       46.26264234, 45.94207618, 47.21436803, 44.53693648, 45.98843311,
       47.62462489, 47.54772196, 41.81526105, 42.40224523, 40.72236381,
       47.70759603, 48.24378724, 47.30130701, 44.72246462, 46.08668244,
       45.19432343, 43.74740237, 45.25886865, 39.85236226, 41.68090348,
       47.42529031, 40.18094336, 44.34328976, 49.01981156, 47.09560492,
       42.61046654, 47.58130766, 43.90084767, 42.60781233, 43.9694774 ,
       44.67339201, 45.53031951, 43.38519919, 39.59199535, 40.89962161,
       42.46922364, 41.93279404, 47.14729131, 46.55879127, 45.69819935,
       42.77848764, 46.26921693, 47.67500065, 42.36975409, 43.59080407,
       47.10852428, 49.05416359, 39.88215873, 44.15059031, 45.43188984,
       42.2639318 , 43.7283171 , 48.25178062, 48.81906669, 42.84798202,
       45.51830194, 45.40033589, 47.18159537, 43.72284379, 43.89775278,
       47.35317301, 41.92214148, 46.62929279, 44.48148609, 38.89531671,
       47.41345273, 44.9659698 , 42.44124508, 45.82337826, 41.68519318,
       39.51535247, 42.49664219, 47.70658781, 44.01695058]), array([45.38425726, 46.47257145, 45.48971442, 42.68976996, 45.35678535,
       43.00811749, 26.93108042, 39.4853835 , 45.72042443, 42.66681993,
       43.62513833, 42.87615326, 46.81487987, 38.80524517, 47.79005581,
       47.87897943, 45.69636901, 46.34203157, 46.09676297, 45.49338371,
       44.2149264 , 43.8057885 , 45.10077374, 46.27882585, 47.83608333,
       44.01863623, 42.85708617, 47.01549633, 40.37564123, 45.48807918,
       39.88037652, 38.82961311, 43.38397167, 47.31985828, 46.92178112,
       44.13899625, 44.91440166, 47.2358713 , 46.83948599, 43.48312778,
       47.34317178, 48.52553911, 41.82207269, 47.6569817 , 45.89525935,
       46.27359744, 45.12033931, 39.91368526, 45.11591565, 36.9063883 ,
       44.41531565, 38.79217957, 45.4468157 , 46.19099974, 40.73190561,
       41.53293285, 48.2507256 , 44.21255019, 48.82432622, 47.55210963,
       49.6934396 , 42.36896123, 46.8093708 , 43.22735981, 44.72916224,
       47.14258979, 43.48734614, 41.97202093, 42.25636132, 41.91970918,
       43.82105849, 49.20416845, 45.81933951, 47.63979642, 40.4648465 ,
       44.51075063, 47.82197338, 43.85056701, 47.6500088 , 45.95419857,
       49.52326811, 43.41618039, 42.86692074, 46.19244858, 44.22401916,
       42.96843285, 47.84403523, 43.65688311, 46.20988167, 43.66692085,
       41.90750435, 44.22632389, 43.75616203, 44.80305249, 46.47455487,
       44.82565568]), array([46.8077157 , 44.27733566, 44.8484975 , 42.58278027, 39.16273298,
       46.83952443, 47.70387325, 41.90597192, 47.27805684, 44.56934555,
       42.74219779, 41.4972574 , 46.57237602, 44.94024789, 47.64858632,
       46.76696869, 45.69116086, 40.32739465, 42.44588371, 45.56125778,
       42.15951955, 41.8635187 , 48.24538889, 49.59959045, 48.10681497,
       44.02337932, 44.60757606, 38.47054389, 49.05710765, 40.95492265,
       47.01447406, 45.39802394, 40.81161393, 40.2723433 , 41.19153129,
       45.9885845 , 44.98863815, 43.90105697, 40.71092826, 44.11467692,
       44.6396005 , 43.65376177, 46.72106572, 48.47239392, 40.46923957,
       44.9540098 , 44.4280032 , 47.86972937, 45.55328   , 43.70756229,
       43.28763258, 49.49939279, 48.90257751, 43.91145047, 40.21220568,
       49.13676846, 46.8098738 , 46.64110243, 48.2470561 , 43.50166171,
       48.71372529, 46.05988918, 44.06475743, 44.21001031, 47.08939553,
       43.94077347, 46.57841242, 48.31430843, 38.53551587, 38.7205497 ,
       47.69062347, 45.0220817 , 46.39135925, 43.95131166, 42.09268586,
       42.79116033, 43.54857511, 47.61273194, 46.93030558, 41.99009475,
       45.41685316, 42.79474172, 46.99661495, 46.33695561, 47.94775237,
       43.64307577, 48.81677648, 48.77073017, 42.61411617, 38.09012498,
       43.3788159 , 46.72652293, 44.69919722, 47.33216169, 44.13393151,
       44.39394816, 46.45417603])]"
4,0.342,329,"[array([45.11065405, 42.40485206, 49.36856004, 48.13327759, 44.83491271,
       44.52542814, 38.64402482, 46.16338885, 46.1817514 , 48.77904106,
       39.19926444, 49.50466267, 46.24291927, 48.4305051 , 37.2533446 ,
       45.2293214 , 46.74447097, 46.7326337 , 39.79975054, 47.61162819,
       49.58237892, 48.6053047 , 48.24359443, 44.35002184, 49.8526909 ,
       43.60593013, 38.59043231, 42.32189463, 46.06228327, 46.71956377,
       46.02077099, 46.67597762, 47.5805145 , 38.42257079, 43.65056371,
       49.02408105, 45.64265403, 40.15545137, 45.15892121, 44.88373812,
       40.84141014, 44.66799345, 48.77092923, 48.27982085, 41.45588163,
       47.16061507, 49.09284386, 43.16224403, 40.69175142, 39.4331912 ,
       45.99821453, 48.23362189, 48.13743377, 48.67841609, 47.35744186,
       46.78169636, 48.60385987, 41.32825333, 48.88414095, 44.29632916,
       48.60004679, 46.55292884]), array([37.02518694, 47.57319099, 47.83421892, 45.12440768, 48.86098035,
       41.30555958, 48.60349325, 45.64556423, 47.65857099, 48.3579659 ,
       47.62919852, 47.00621403, 45.45280509, 46.2548519 , 47.89626341,
       39.76193254, 44.27696445, 46.28425754, 46.74994172, 43.32586064,
       48.12034776, 48.25635262, 44.63318292, 44.21096042, 43.97916821,
       44.60040353, 45.69808739, 46.00738917, 42.56671852, 48.56654502,
       43.82719397, 48.72483578, 45.92697652, 39.3353805 , 48.37523297,
       47.01662249, 39.4755634 , 47.79722175, 45.41935792, 45.60483522,
       45.82757396, 44.19919353, 43.02118042, 48.33849872, 49.01974956,
       42.12715977, 48.55999023, 47.3362801 , 44.98842881, 47.21075783,
       49.75699453, 45.15651686, 44.90130384, 46.30284077, 47.54398781,
       43.86114447, 49.21613142, 48.33285748, 49.3360496 , 49.79655198,
       47.98561391, 43.66534231, 48.28046036, 46.55523611]), array([43.2472905 , 33.41872115, 49.64260071, 32.87643845, 47.26574017,
       49.53983448, 46.97668667, 42.26781425, 48.42917242, 48.48449269,
       44.97585304, 48.69177897, 42.76367377, 45.80773117, 37.16483649,
       43.35186622, 49.25202704, 46.66224476, 44.52591007, 43.73834028,
       49.71668973, 46.41887035, 49.87158947, 45.69263898, 43.48601945,
       43.78781617, 41.49680818, 47.8190888 , 49.16156994, 47.24906175,
       44.28810638, 47.2223445 , 46.77092755, 47.301695  , 38.06123044,
       45.63921131, 45.55292377, 43.86841906, 47.60636209, 48.08556708,
       44.6446702 , 45.72630387, 42.31554608, 48.18291024, 48.66103926,
       43.69323841, 48.14424066, 48.22686558, 47.42357232, 44.15624294,
       49.38316849, 43.20643482, 47.12886293, 44.53194189, 39.38010436,
       44.96618627, 48.76200577, 41.44076768, 46.97807085, 48.4696243 ,
       49.3780357 , 46.36723451, 48.66179176, 42.90272201]), array([45.64685394, 45.96425597, 44.73282914, 46.1783316 , 49.02971203,
       34.51973414, 40.2611641 , 48.33332188, 49.1079832 , 48.96926085,
       46.31820144, 47.97131558, 45.61060057, 48.40322408, 45.60738143,
       49.69255037, 40.90841705, 46.76737704, 47.35954108, 48.04925818,
       44.2270565 , 46.5753806 , 43.58360389, 49.82938011, 45.90920026,
       45.09627112, 49.85385715, 45.28623253, 39.38372683, 47.65642588,
       40.64293617, 45.77818253, 47.02925587, 48.49334227, 44.05755995,
       38.3583154 , 36.48494097, 43.79340649, 45.31385398, 45.99394572,
       44.20514812, 48.75961478, 47.65598638, 49.35711543, 42.91581211,
       49.61243699, 43.93836345, 45.97328544, 48.30298092, 47.40292862,
       48.88456407, 49.4342078 , 49.56175363, 46.35756334, 42.83186513,
       45.28596403, 43.04715161, 45.53401511, 44.61261514, 38.99749212,
       49.8969526 , 39.01897312, 48.06527478, 38.35097795, 46.46252705,
       49.5930014 , 47.56108997, 46.57782747, 42.88517044, 39.61167939,
       48.77355553, 48.18786883, 46.67755719, 49.76740175, 48.37660681,
       48.03642921, 47.94819519, 46.03321473, 46.13467104]), array([36.95704115, 48.7404449 , 44.36122941, 42.6444967 , 46.86369246,
       46.18138968, 44.91293723, 41.48407491, 44.74244223, 48.88196272,
       44.28806595, 47.41887806, 44.05069373, 38.18355304, 46.76539659,
       47.65003224, 42.5256436 , 45.18416599, 48.63887567, 41.9952874 ,
       46.46438416, 48.73904731, 49.49238241, 46.92633459, 43.01351589,
       45.07378469, 40.87149361, 44.83657807, 47.85962096, 48.70045286,
       47.85834724, 47.83432486, 42.19248465, 49.16249562, 47.90330781,
       39.09111948, 49.5702009 , 41.9272577 , 47.71787909, 45.42664181,
       46.36908439, 41.3582781 , 43.91485644, 43.6079671 , 43.75504106,
       48.41307215, 42.57356764, 46.47411561, 48.66688826, 44.70898316,
       47.67585114, 41.94934652, 48.45105168, 42.10875881, 43.50591561,
       45.31340246, 49.99338814, 46.55820235, 47.28260493, 48.95566793])]"
6,0.648,176,"[array([48.49973037, 45.91339522, 47.70396726, 45.83681518, 48.75431568,
       48.65494057, 46.19272738, 44.66860136, 43.75112249, 46.46812975,
       47.78545029, 36.99638116, 41.28279316, 49.18435538, 49.01042864,
       45.37676624, 49.63078011, 47.79856541, 24.37385534, 45.16305551,
       46.15037465, 46.5686894 , 26.17114404, 49.53016993, 34.83133306,
       40.36000351, 47.49150524, 48.31195434, 46.8735435 , 49.94637819,
       44.74808618, 45.71059413]), array([39.75269662, 49.62199125, 48.69365376, 47.12041797, 41.2454804 ,
       44.86625241, 47.97942533, 45.49501075, 48.73422957, 44.46744579,
       48.73757855, 48.53020846, 48.68260192, 47.81291765, 46.5439536 ,
       48.8485941 , 49.70468415, 44.45268129, 48.03357755, 49.85371222,
       47.90852912, 49.2087357 , 48.4480256 , 47.82225925, 47.42927738,
       47.01117315, 48.87510088, 44.37364738, 47.99990251, 45.51422186,
       48.46049843, 48.89575433, 49.86391079, 47.93854625, 47.01455875,
       48.07336393]), array([41.69999276, 42.77976819, 48.84158597, 47.10696752, 43.15990673,
       49.77933051, 46.92723291, 44.36794832, 44.64886199, 46.8420398 ,
       48.3186346 , 49.98846481, 49.71809581, 48.70241109, 49.90284281,
       43.83729119, 47.12767899, 49.44089243, 43.09940676, 46.51456269,
       40.63388845, 44.89359431, 48.9555247 , 45.71846444, 47.01128243,
       49.00721951, 45.37809197, 47.8903461 , 49.40374177, 44.55307829,
       30.98505218, 49.48641524, 44.06144858, 37.59815857]), array([47.69413719, 49.62309255, 49.56954957, 48.185047  , 36.14781381,
       49.64304207, 46.96822997, 47.2453622 , 49.56374884, 48.63734503,
       49.99766982, 43.62352535, 48.7617425 , 46.89195567, 49.29512189,
       43.63408048, 49.06436013, 49.23035711, 49.85355914, 45.25747668,
       49.16894325, 39.98053632, 45.60154664, 49.72614536, 49.69901165,
       49.68382268, 48.67936691, 41.99255122, 47.0836731 , 39.58753493,
       48.18307352, 47.96301867, 46.39563931, 45.2432224 , 45.28779896]), array([46.63610233, 48.19604326, 47.36064749, 46.52141276, 31.04886787,
       42.50156174, 49.44887108, 37.66669213, 43.51547504, 46.27609349,
       45.44881027, 47.99896244, 47.21449788, 46.39598884, 32.83153883,
       39.56928124, 48.59520574, 42.84106514, 48.84753436, 48.59170515,
       47.95752372, 47.79596439, 46.58569526, 49.65679563, 41.01881126,
       44.88264237, 46.73974787, 45.46531621, 45.67122832, 48.45692687,
       47.84124725, 48.05825675, 40.0162619 , 46.65542342, 46.3982632 ,
       41.60940532, 45.54636224, 33.84973141, 35.39891925])]"
8,0.728,136,"[array([49.17407958, 42.92047895, 48.42302264, 45.76718608, 49.52488884,
       48.97601629, 32.27475104, 43.92566525, 49.01231176, 49.72030044,
       43.7528405 , 37.74190431, 49.20135096, 48.00043625, 43.8682844 ,
       49.86690041, 46.67989346, 48.85162566, 30.5695427 , 48.36575543,
       49.19325756, 44.78137969]), array([49.13760476, 46.40025632, 46.67074697, 48.68138111, 49.12628905,
       45.39231359, 44.2519115 , 46.89599353, 43.72950531, 48.61071191,
       46.34480942, 49.90403052, 45.37053261, 47.86972369, 49.7679591 ,
       48.25453184, 48.38251823, 49.01224315, 40.3911293 , 47.43086594,
       46.36299885, 43.39762658, 48.08765945, 46.29142133, 47.5620134 ,
       42.10829758, 47.33813366, 47.48650379, 47.63995523]), array([43.54319249, 46.79835503, 48.27344172, 47.21764534, 42.425419  ,
       49.38851824, 36.74331503, 45.257119  , 46.96733159, 44.88199046,
       45.80089848, 49.87685146, 47.35151387, 43.57847593, 47.41088046,
       44.18694088, 49.07419094, 46.50796342, 47.6097287 , 45.30052466,
       44.79480936, 49.83351305, 49.60990533, 44.92886134, 44.88922229,
       48.95496825]), array([47.85290794, 48.89120666, 47.37803463, 48.82566426, 49.54774077,
       47.92285278, 45.60754889, 47.77103016, 47.24363827, 42.50699292,
       48.08418998, 48.83910726, 48.3684072 , 49.08438788, 43.3364906 ,
       48.47706251, 49.17199634, 48.86632212, 48.43217112, 44.73824455,
       49.28519536, 49.1416152 , 43.21111055, 48.99075459, 39.49673608,
       49.98783694, 48.3051417 , 48.82235243, 41.67638851, 43.60306762,
       48.57185657, 48.89438257, 48.77715912, 44.92702785, 45.8118551 ,
       48.65833378]), array([48.45798295, 46.83093655, 42.92765228, 47.18857723, 39.52126463,
       48.58019809, 46.4880166 , 49.74980845, 47.36688588, 47.89255159,
       49.62918409, 48.77162441, 47.20522891, 47.21995249, 49.01069965,
       46.49276813, 33.09396862, 44.79352984, 49.21349142, 36.07794207,
       45.64285511, 48.0396535 , 42.00135897])]"
10,0.75,125,"[array([48.09750839, 49.56025861, 49.93857861, 42.34052505, 47.46958019,
       48.64748281, 49.07482866, 32.0417549 , 49.11508318, 46.90346969,
       46.25649405, 40.62802479, 49.32611515, 45.79383424, 48.42139893,
       47.66102232, 48.64055351, 49.14376476, 48.94593059]), array([47.91283672, 48.1522395 , 49.72664067, 46.37827175, 48.22365582,
       45.96967191, 46.54637055, 47.78456313, 49.99276428, 41.10259327,
       45.16732731, 30.66773111, 46.21531793, 47.8930486 , 45.0913094 ,
       45.10924835, 44.01193708, 48.5076305 , 41.6217109 , 48.28992423]), array([49.95813053, 49.26665603, 48.86377227, 49.43235564, 43.04401908,
       49.721639  , 49.7235099 , 48.91156255, 49.35916721, 44.44711919,
       46.92003572, 40.88555027, 48.98887991, 49.51352999, 48.76820263,
       49.43296512, 49.17649506, 49.61937004, 49.80863288, 48.60975015,
       28.50144862, 49.42096421, 44.00168586, 46.99425978, 49.19117099]), array([49.95147761, 49.75383275, 47.27345586, 48.84119541, 43.82806579,
       48.13841171, 49.13634432, 49.09278724, 48.52446808, 46.15068029,
       42.8175664 , 45.78187729, 47.06220229, 49.60150229, 48.69166981,
       42.16964179, 46.93814891, 49.98126378, 48.61766166, 42.79878797,
       47.22940988, 39.35923457, 49.71983427, 49.82341774, 49.38145349,
       47.75864401, 47.49938437, 49.28058178, 49.65212062, 43.52303473]), array([48.32617711, 40.3057664 , 46.6185312 , 49.53591943, 46.53806054,
       45.21540327, 49.39388204, 45.04135684, 45.493653  , 49.61984648,
       49.6326659 , 36.68154523, 48.83916981, 48.30695961, 49.25051479,
       45.142203  , 44.89479948, 48.84864453, 44.18389719, 49.96520741,
       46.90410199, 47.59709051, 48.79821765, 46.87451383, 48.04850325,
       49.68181447, 45.65414101, 38.06672762, 39.13550828, 49.53022029,
       48.24330862])]"
12,0.768,116,"[array([48.53881171, 48.24440601, 46.74814418, 48.60858746, 37.02514492,
       49.25320508, 45.01362858, 49.65071655, 48.7606902 , 48.4065083 ,
       43.80615338, 47.08780403, 46.70153915, 46.60392505, 47.38638685,
       47.39255024, 49.10775478, 49.6025468 , 49.43366366, 49.95437728,
       46.99458404]), array([49.05664182, 46.31464075, 46.93058934, 46.68592151, 45.64602564,
       49.3064807 , 49.97249236, 43.60630812, 46.49952173, 39.90911907,
       42.3101675 , 44.62131464, 49.38530099, 49.72674792, 47.9818446 ,
       49.5689839 , 48.5786061 , 49.68213425, 44.96679801, 45.08463282,
       49.88653367, 47.51182062, 45.19746523, 45.30304545]), array([42.25929976, 49.8929472 , 45.95907104, 49.16706269, 48.11014466,
       49.93557008, 46.53662487, 45.19185923, 42.46692858, 49.14088399,
       49.75816117, 45.22687135, 48.66204665, 49.77051416, 46.46248435,
       46.0112705 , 49.65775461, 49.60881216, 48.32989439, 44.59128848,
       45.86160264, 49.85012472]), array([48.87450923, 48.56754593, 49.21659109, 45.92946911, 47.76930744,
       49.42184685, 46.76200479, 48.89436275, 49.36766033, 47.61076623,
       46.89512402, 49.61445284, 44.97048894, 40.39287195, 49.17942931,
       48.99989886, 44.1167532 , 47.64742726, 43.82213465, 46.90408231,
       49.28404511, 49.09905326, 49.651095  ]), array([48.9361704 , 45.44142798, 48.22531222, 46.91183732, 46.69628805,
       49.57844923, 48.95821778, 48.29647879, 49.75047552, 45.02239517,
       49.01726206, 47.00109689, 40.31521485, 41.97696113, 47.42847975,
       45.45695573, 47.12166676, 45.5163938 , 49.07457766, 38.9282068 ,
       49.86288579, 45.32315393, 47.94092617, 48.07167459, 49.59432817,
       47.28118794])]"
14,0.782,109,"[array([49.92983539, 45.36942499, 47.72657601, 47.39971498, 46.7758372 ,
       48.31507429, 49.90812538, 49.88290533, 47.74314312, 49.96387714,
       49.21254229, 49.47847157, 48.4362317 , 48.78414253, 48.33711309,
       48.52237171, 48.48200997, 46.36828771, 46.43916014, 47.93102635,
       47.74780315, 45.94112624, 41.56767029, 46.85709048, 47.73982896,
       47.26492807]), array([47.18535415, 42.26209522, 48.95696056, 49.20824887, 44.45981806,
       44.8971839 , 48.70930658, 47.07099074, 49.64446646, 48.81855476,
       49.53709003, 41.30991557, 49.52491157, 35.28544903, 46.12979377,
       49.21187168, 44.58006917, 46.06918813, 49.31456709, 49.4564905 ,
       49.21768075]), array([47.62094086, 49.30400486, 49.08785015, 47.1788256 , 46.44812592,
       46.09046712, 49.54627381, 48.7380255 , 46.72775634, 49.52865023,
       49.0956793 , 39.86099895, 43.70732438, 47.04314947, 49.62686188,
       48.69387233, 49.97642307, 46.80073706, 38.63359237, 42.8239958 ,
       47.01136128]), array([47.71302339, 46.34956695, 45.94933525, 49.28544252, 46.42750966,
       42.3701505 , 48.48229849, 49.34109574, 45.61422373, 47.23873896,
       43.11280451, 45.30110992, 44.58004215, 47.78634921, 48.61653479,
       48.70819584, 43.87493281, 46.96258396, 48.32872239, 49.95434053,
       48.98958574, 39.20126559, 48.39676385, 47.48905524]), array([45.17124772, 44.85640935, 46.32374503, 47.2793624 , 49.21522759,
       45.48824848, 46.6533653 , 49.04950913, 48.85866007, 33.76268129,
       48.35350898, 48.44065287, 42.87045116, 48.79299091, 47.71571675,
       45.37996714, 43.15718218])]"
16,0.796,102,"[array([49.60661542, 46.19218231, 49.53275414, 45.72731482, 47.78517129,
       44.33191761, 49.69806086, 47.51455506, 49.94936661, 48.89343577,
       48.78063528, 46.43405405, 48.58463417, 47.92847487, 48.19056417,
       47.71820348, 46.51165045, 46.61448739, 47.09243056, 47.56617102,
       48.12790588]), array([43.93348052, 43.07120062, 43.61365206, 45.30155484, 46.05414242,
       49.75548329, 48.76610288, 47.29001127, 45.30624157, 49.66822157,
       48.1369527 , 47.30164771, 47.77994598, 49.92065804, 46.27477335,
       49.97647056, 46.07223756]), array([44.37156742, 46.22773662, 47.54932936, 48.15684031, 49.88029949,
       48.93608376, 41.39724861, 45.27982024, 49.18316469, 38.94740451,
       49.08058384, 47.08431085, 48.26333874, 49.58772051, 44.82060616,
       49.76951336, 49.57041257, 49.491154  , 48.16955901, 48.39725339,
       43.12184327, 48.78438015, 49.47252447, 45.41239137]), array([49.62741798, 47.7819317 , 42.76141043, 48.81048865, 49.37386947,
       47.92298921, 48.71545691, 45.94849003, 49.46917213, 47.83532598,
       48.62984114, 46.55223283, 45.71835406, 49.085243  , 46.51681554,
       49.96707044, 49.46700228, 45.58229756, 49.72798659]), array([44.63585267, 48.04291116, 49.66220809, 46.70072959, 49.67784821,
       48.88774058, 49.95068619, 18.4548241 , 46.84836833, 49.98596979,
       49.10602467, 49.6398612 , 47.18280424, 45.95861368, 47.22900542,
       49.84969168, 48.236365  , 49.85557765, 25.37704266, 47.24234988,
       46.42776955])]"
18,0.856,72,"[array([48.17414176, 43.91738217, 47.99557709, 44.10396847, 46.20571169,
       47.1099424 , 49.81203409, 46.72140446, 44.47934633]), array([49.48460841, 47.85905096, 49.67528803, 49.37325407, 47.15061675,
       49.25659786, 48.36762582, 48.05562063, 46.12686835, 49.54502369,
       43.81701692, 47.96866655, 49.09707725, 46.81988081, 49.61739798,
       48.77329036]), array([44.43304871, 47.83933777, 46.22955388, 49.33150119, 45.05081355,
       49.10904892, 45.0881466 , 47.13016497, 47.10268828, 49.86106049,
       49.13846446, 45.48814537, 47.74415182, 46.99476905, 47.63556757]), array([44.21258341, 49.37496025, 39.24999661, 47.60259413, 48.22582292,
       46.91217063, 43.42047632, 48.71864773, 49.87831362, 42.30052576,
       49.26667865, 46.51231531, 48.93236858]), array([48.05401798, 44.20012574, 47.84485887, 47.01556634, 48.26823232,
       49.3585897 , 49.21690444, 49.45701335, 43.07708305, 44.98709326,
       42.99516139, 48.85797358, 47.71734521, 43.59773345, 45.10132654,
       43.06735023, 46.47853434, 47.39236224, 47.06038526])]"
